index,content,A,B,C,D,ans
49,下列不属于高等教育系统战略性调整的特征是（）。,创新性,前瞻性,短期性,效益型,C
50,（）是高等教育结构形成、发展以及调整过程中的决定性因素。,科学、技术因素,教育因素,文化、传统因素,经济因素,D
51,在大学生思想政治教育过程中居于主导地位的是,个人努力,家庭教育,社会影响,学校教育,D
52,按照所授学位的不同来划分高等教育的层次，美国高等教育可分为（）层次。,3个,4个,5个,6个,D
53,下列位于高等教育地域结构中第一层的地区是（）。,湖南,福建,云南,湖北,D
54,下列选项不属于一体化教育结构模式的特征的是（）。,可以加强理论和实际的联系,为科研提供更广阔的基础,英才教育部门有更大的自主权,有利于学生重新选择学习机会,C
55,（）是指高等教育机构在地区分布上的构成状态。,地区结构,形式结构,层级结构,科类结构,A
56,教育一体化模式是在哪一时期达到高潮的？（）,20世纪60年代末至70年代初,19世纪60年代末至70年代初,20世纪50年代末至60年代初,20世纪60年代末至80年代初,A
57,学科发展的稳定性与可持续发展，主要涉及（）。,学科的发展潜力,学科发展的成熟水平,学科发展布局的整体性,学科影响的社会性,A
58,1952年开始进行的中国高等学校院系调整对高等学校产生的重要影响是（）。,从单一走向多样,从精英教育走向大众教育,由培养专才到培养通才,由培养通才到培养专才,D
59,以师资力量雄厚、培养的博士质量高为特点的学校是（）。,文理学院,研究性大学,公立大学,高等教育学院,B
60,以倡导“通才教育”、“读名著”而闻名的教育家是（）。,赫钦斯,科南特,马利坦,克拉克·拉尔,A
61,1952年开始进行的中国高等学校院系调整产生了深远影响，其主要的学习和借鉴对象是（）,美国,苏联,日本,法国,B
62,根据学术门类划分或职业门类划分，将课程组合成不同的专门化领域，这些组合被称为（）。,课程,专业,教学计划,教学大纲,B
63,《普通高等学校本科专业目类》中确立的专业数是（）,510个,671个,504个,249个,D
64,目前中国高等学校学科专业设置共设（）个学科大类,10,11,12,13,D
65,高等学校内部的学科和专业设置，不受下列哪项因素的制约？（）,学科自身发展的学术性,高等学校学科发展与布局的整体性,学生发展水平,学科影响的社会性,C
66,学科上的主干知识基本结构体系是否完整，与其他学科知识之间的兼容性等，主要体现（）。,学科的发展潜力,学科发展的成熟水平,学科发展布局的整体性,学科影响的社会性,B
67,制定专业人才培养目标的依据不包含（）,国家的教育方针,高等教育的总体培养目标,学位条例,学校教学目标,D
68,现代社会发展对高等学校所培养的人才的基本素质要求是（）。,具有创新精神,具有宽厚的基础知识,具有竞争意识,具有法律意识,A
69,下列有关高等学校专业划分的说法不正确的一项是（）。,专业划分的依据越来越向学科分类标准靠拢,专业的划分与职业分工区别越来越明显,当前高等学校的专业设置，往往直接指向某一具体的行业,当前高等学校的专业设置，立足于为某一大的行业类别提供人力资源,C
70,“师也者，教之以事而喻诸德者也。”这句话体现了教师职业道德要求的（）特点。,针对性,双重性,全面性,典范性,B
71,“为人师表”决定了教师职业道德的（）。,全面性,广泛性,多样性,典范性,D
72,（）是教师在一定的内心信念和道德责任感的支配下，在教育教学实践中，自觉履行的对学生、他人和社会应尽的职责和义务。,教师义务,教师良心,教师公正,教师幸福,A
73,教师职业道德修养包含两个方面，一个是职业道德意识修养，另一个是（）。,职业技术修养,职业道德行为修养,职业理念修养,科学文化修养,B
74,“师者，所以传道、授业、解惑也”这句话出自（）。,柳宗元,韩愈,欧阳修,苏轼,B
75,曾指出“大学者，非谓有大楼之谓也，有大师之谓也”的是（）。,蔡元培,胡适,严复,梅贻琦,D
76,尽管不同历史时期，教师职业道德要求有所不同。但不同历史时期，也存在着共同的教育伦理关系，表现出教师职业道德的（）。,可变性,差异性,历史继承性,多元化,C
77,捷克教育家夸美纽斯认为“教师的义务是用自己的榜样来教导学生”，这体现了教师的道德行为具有（）。,示范性,先导性,复杂性,长期性,A
78,下列因素中不属于社会主义社会教师荣誉具体构成的是（）。,优越的经济报酬,光荣的角色称号,无私的职业特性,崇高的人格形象,A
79,在“真实的集体”里，个人与集体（）价值序列的轻重与优劣。,存在,不存在,时有时无,可能存在,B
80,教师在履行教育义务的活动中，最主要、最基本的道德责任是（）。,教学,培养学生,提高教学质量,教书育人,D
81,教师职业道德区别于其他职业道德的显著标志是（）。,为人师表,清正廉洁,敬业爱业,团结协作,A
82,随着时代的进步，新型的、民主的家庭气氛和父母子女关系还在形成，但随着孩子的自我意识逐渐增强，很多孩子对父母的教诲听不进或当作“耳边风”，家长感到家庭教育力不从心。教师应该（）。,放弃对家长配合自己工作的期望,督促家长，让家长成为自己的“助教”,尊重家长，树立家长的威信，从而一起做好教育工作,在孩子面前嘲笑这些家长,C
83,教育法律关系中两个最重要的主体是（）。,教育部门和下属学校,教育机构和非教育机构,教师和学生,教育领导和教师,C
84,依法执教的重点是（）。,教育法学教育和研究,教育法律的遵守,各个教育部门按照法定的权利和义务要求来治理教育，依法指挥、组织、管理、实施、监督、参与教育活动,教育立法,C
85,所谓为人师表是指教师要在各方面都应该成为学生和社会上人们效法的表率、榜样和楷模。这一涵义是由（）。,社会舆论决定的,教师的工作对象决定的,法律法规决定的,传统习俗决定的,B
86,托尔斯泰说：“如果一个教师把热爱事业和热爱学生结合起来，他就是一个完美的教师。”这意味着教师要（）。,关心学生、了解学生,尊重学生、信任学生,严格要求学生，对学生一视同仁,把教学工作与热爱学生结合起来,D
87,师表美的精神内涵或内在方面应该是（）。,表美,道美,风格美,形体美,B
88,孔夫子所说的“其身正，不令而行；其身不正，虽令不止”，从教师的角度来说可以理解为（）。,走路身体一定要端正,对学生下命令一定要正确,自己做好了，不要教育学生，学生自然会学好,教师自己以身作则，其一言一行都会对学生产生巨大的影响,D
89,从教师个体职业良心形成的角度看，教师的职业良心首先会受到（）。,社会生活和群体的影响,教育对象的影响,教育法规的影响,教育原则的影响,A
90,当前教师队伍中存在着以教谋私，以热衷于“有偿家教”现象，这实际上违背了（）。,爱岗敬业的职业道德,依法执教的职业道德,严谨治学的职业道德,廉洁从教的职业道德,D
91,“师者，所以传道、授业、解惑也”，这句话出自（）。,柳宗元,韩愈,欧阳修,苏轼,B
92,俗话说“满招损，谦受益”“虚心使人进步，骄傲受人落后”，教师在团队合作中，最好首先做到（）。,严以律己，以诚待人,谦虚为怀、戒骄戒躁,相互帮助通力合作,凡是不要先出头,B
93,人们为了集中力量实现共同理想或任务而联合起来，相互支持，紧密合作。这就是（）。,团结协作,分工负责,任务到人,求真求实,A
94,严谨治学最重要的是（）。,死扣书本,实事求是,一视同仁,虚怀若谷,B
95,教师在求知和传授知识和学问的过程中要做到严密谨慎、严格细致。这就要求教师必须（）。,严谨治学,实事求是,与时俱进,理论联系实际,A
96,教育学生的感情基础是（）。,爱工作,爱学生,爱学校,爱教育事业,B
97,教师在职业活动中要处理好各种各样的关系，其中最核心的关系是（）。,师生关系,同事关系,师长关系,师教关系,A
98,教师公正的核心是（）。,对自己公正,对学生公正,对同事公正,对上级公正,B
99,荀况说：“师术有四，而博习不与焉。尊严而惮，可以为师；蓍艾而信，可以为师；诵说而不陵不犯，可以为师；知微而论，可以为师。”下列观点没有体现荀况的教师职业素养基本要求的是（）。,品德为师,经验为师,专业为师,身正为师,D
100,下列哪一句话是片面的或不正确的？（）,教学过程是一种特殊的认识过程,教学过程主要是教师向学生传授知识、技能的过程,教学过程中，学生主要是以学习间接经验为主,教学过程是学生在教师的引导下学习和掌握知识的过程，而不是学生独立的发现活动,B
101,在教学过程中，下列说法正确的是（）。,教师是主体,学生是主体,教为主导，学为主体,A、B和C均不正确,C
102,就教学的静态结构而言，教学是由多项内容构成，不属于其构成内容的是（）。,教学内容,教学媒介,教师和学生,教学原则,D
103,教学过程是在教师指导下学生的认识过程，教师的指导和学生的（）是构成教学过程的主要活动。,被动学习,自主学习,间接学习,接受学习,B
104,学生的学习，一般地说主要是系统地学习（）的过程。,直接经验,直接知识,间接知识,新的知识,C
105,促进学生能力的发展是教学工作一项极其重要的任务，自学能力和（）是学生能力发展的两个重要方面。,记忆能力,创新能力,科研能力,辨别能力,C
106,（）是高等学校的中心工作，是实现一定的教育目的和人才培养目标的基本途径。,管理,教学,课程,科研,B
107,从学习主体的角度看，大学教学过程是大学生独立性、（）和探索性增强的过程。,自主性,自我性,民主性,开拓性,A
108,下列不属于大学教学原则的是（）。,科学性与思想性相统一的原则,传授知识与培养能力相统一的原则,教师主导作用与学生主动性相结合的原则,学科专业性与广泛性相结合的原则,D
109,在高等教育中，既要强调教学过程中学生共性中的个性，又要重视个性的发展离不开共性的支持，这是（）教学原则决定的。,知识积累与智能发展相结合,因材施教和统一要求相结合,科学性与思想性相结合,教师的主导性与学生的主体性相结合,B
110,在教学过程中，要实现在教师指导下，充分发挥学生学习的积极性和主动性，培养学生的独立学习与探索研究的能力，这是（）原则决定的。,知识积累与智能发展相结合,理论联系实际,科学性与思想性相结合,教师的主导性与学生的主体性相结合,D
111,只有将各教学原则紧密结合在一起，彼此互相补充，实现教学原则体系的（），才能更有效的提高教学效率。,整体化,系统化,最优化,紧密化,C
112,确定教育目的的客观依据是（）。,哲学观念,人性假设,理想人格,生产力和科技发展水平,D
113,指导中国高等教育发展的基本理论基础为（）。,通识教育,公平教育,人的全面发展学说,人的自由发展学说,C
114,高等教育活动的总方向是（）。,专业培养目标,高等教育目的,课程目标,教学计划,B
115,坚持社会主义方向，是中国教育目的的（）。,阶段性要求,根本特点,一般特征,理想要求,B
116,确立中国高等教育目标的理论基础是（）,个人本位论,社会本位论,马克思主义关于人的发展说,形势教育论,C
117,（）是全部教育活动的主题和灵魂，是教育的最高理想。,教育方针,教育政策,教育目的,教育目标,C
118,马克思主义人的全面发展说在20世纪末中国教育界的具体实践典型的是（）。,教育实验的热潮,素质教育运动,教育改革的实践,教育的国际化走势,B
119,按照美的规律对自己劳动条件和劳动产品进行设计和加工，对居室、日用品、服饰等方面按照美的观念做出选择与合理的配置属于（）。,感受美,鉴赏美,创造美,领悟美,C
120,美育之“超美育”功能，即指（）。,直接育美功能,间接育德、促智、健体功能,超越性美育功能,美育的附加功能,B
121,教育者创设一定的情境以提升教育对象的智慧水平为目标的教育为（）,德育,智育,美育,体育,B
122,教育活动的依据和评判标准是（）。,教育目的,课程,教育评价,教学,A
123,中国教育目的的基本精神在于，培养体、智、德、美全面发展的、（）、社会主义现代化的建设者。,个性自由发展,具有开拓精神,具有独立个性的,具有创造才能,C
124,“美育”一词最早是（）在《美学书简》中提出的。,培根,康德,席勒,卢梭,C
125,下列哪一项未列入学校体育的功能？（）,教育功能,娱乐功能,健体功能,个体享用功能,D
126,教育目的和培养目标的关系是（）。,一般与个别,普及和提高,抽象与具体,普遍与特殊,D
127,下列哪一观点是正确的？（）,智育等于教学,创造性思维即发散思维,进行美育即实施素质教育,智育是实现人全面发展的途径之一,D
128,体育是以（）为目标的教育活动。,提升教育对象智慧,健全品德素养,发展体能，锻炼体魄,追求人生情趣和理想境界,C
129,具有强烈的人道主义特色，全盛时期出现在18、19世纪，突出人的本性需要和自由发展，反对神学等观点属于（）的认识。,精神本位论,社会本位论,神学本位论,个人本位论,D
130,“君子欲化民成俗，其必由学乎”、“古之王者，建国君民，教学为先”体现了（）的教育目的观。,教育无目的论,社会本位论,科学本位论,个人本位论,B
131,主张以社会的稳定和发展为教育最高宗旨来确定教育目的，就形成（）。,个人本位的教育目的论,教育无目的论,神学的教育目的论,社会本位的教育目的论,D
132,提倡社会本位教育价值观的代表人物是（）,柏拉图,卢梭,斯宾塞,赫钦斯,A
133,中国西周时期高等教育内容为（）。,七艺,六艺,四书五经,军事教育,B
134,日本的高等教育起源于（）,私立大学,帝国大学,社区大学,公立大学,B
135,当一国等教育入学人数达到适龄人学人口的（）时，属于大众高等教育发展阶段。,0.1,0.15,15%～50%,0.6,C
136,通才教育是一种（），注重理智的培养和情感的陶冶。,通识教育,全才教育,素质教育,英才教育,A
137,中国古代的高等教育实行的是一种（）。,专才教育,英才教育,大众教育,通才教育,D
138,西方传统的大学教育的观念源自古希腊的（）。,道德教育,职业教育,人文教育,科学教育,C
139,20世纪初永恒主义代表人物之一的（）弘扬自由教育的理念。,纽曼,卢梭,巴格莱,赫钦斯,D
140,一般来讲，实施放宽口径、适应性强的教育为（）。,素质教育,通才教育,全才教育,英才教育,B
141,英才高等教育阶段，高等教育的支撑者是（）。,个人,国家,国家和个人相结合,学校,B
142,高等教育是在完全的中等教育基础上进行的一种（）。,基础教育,职业技术教育,义务教育,专业教育,D
143,下列大学中不属于欧洲中世纪的是（）。,柏林大学,巴黎大学,剑桥大学,牛津大学,A
144,在下列近代中国新式大学里，属于上海交通大学前身的是（）。,京师大学堂,天津中西学堂,南洋公学,山西大学堂,C
145,最早确立了大学具有发展科学职能的是（）。,剑桥大学,康奈尔大学,柏林大学,东京大学,C
146,马克思主义认为，只有教育与生产劳动相结合才能实现（）。,人的和谐发展,人的自由发展,人的片面发展,人的全面发展,D
147,全面发展教育的方向和动力是（）。,德育,智育,美育,体育,A
148,就教育内容而言，中国近代高等教育实行的是（）。,通才教育,专业教育,大众教育,专才教育,D
149,根据美国学者马丁·特罗的理论，如果一个国家的高等教育发展处于普及阶段时，其高等教育人学率应达到（）,10%~20%,20%~40%,50%以上,40%~50%,C
150,美国建立于1876年的霍普金斯大学仿效的是（）,英国大学,法国大学,德国大学,意大利大学,C
151,大学和专门学院属于中国高等学校系统的（）。,基本层次,最高层次,最低层次,中等层次,D
152,《中华人民共和国学位条例》颁布于（）。,1949年,1980年,1993年,1985年,B
153,行政权力和学术权力相对平衡，两者相互制约的高校管理模式是（）。,美国模式,英国模式,德国模式,法国模式,B
154,实行党委领导是保证中国高校社会主义办学方向的（）。,重要措施,必要措施,基本措施,有效措施,C
155,学术权力为主、体现学术权威影响的高校管理模式被称为（）。,欧洲大陆模式,美国模式,亚洲模式,英国模式,A
156,中国高校正式实行党委领导下的校长负责制的年代是（）。,1949年后,1978年后,1989年后,1984年后,B
157,中国大学的管理中心是（）。,校本部,学院,教师,系,B
158,对于教学为主的专科学校，其教师的职务结构最好是（）。,倒金字塔型,卵型,梯形,金字塔型,D
159,下列表述中符合新生阶段大学生特点的是（）。,踌躇满志，但缺乏远大理想,思想活跃，兴趣爱好广泛,工作、生活的紧迫感增强,渴求获得爱情,B
160,高校专业设置的基础是（）。,财力,学科,学生,科研,B
161,在高校教学中教学大纲是学科教学的（）。,指导性文件,纲领性文件,参考文件,必备文件,A
162,教学是高等学校实现人才培养的（）,唯一途径,重要途径,必要途径,基本途径,D
163,下列表述中不适合使用讲授法的是（）。,讲授与事实相关的知识,讲授抽象程度高、学科内容复杂的知识,思路清晰又能驾驭语言技巧的教师,规模小的班级,B
164,美国1862年颁布的《莫里尔法案》导致大学的第二职能是（）。,教育教学,科学研究,校办企业,社会服务,D
165,教育评价从本质上来说是一种（）。,判断事实的活动,价值判断活动,学习数据收集活动,测量活动,B
166,大学发展学科和创新新学科的基本途径是（）。,学科教学,引进人才,申报新专业,科学研究,D
167,在大学的科学研究中，阐明自然现象、特性或规律的具有一定学术意义的科技成果是（）。,理论性成果,应用性成果,阶段性成果,发展性成果,A
168,使美国高等教育由英才教育发展为大众教育的是（）。,私立大学,公立大学,社区学院,短期大学,C
169,下列表述中不符合专业实习特点的是（）。,全体学生参加,以思想政治教育为主,由教务处统一组织,有固定的实习场所,B
170,中国于1998年8月29日通过并颁布了（）。,《中华人民共和国义务教育法》,《中华人民共和国高等教育法》,《中华人民共和国教师法》,《中华人民共和国教育法》,B
171,思想政治教育的本质特征体现在（）。,群众性,实践性,普遍性,阶级性,A
172,中世纪大学的学科专业中被看作是基础科的是,法科,医科,文科,神学科,C
173,教有与政治间关系的核心始终是,人才问题,民主问题,社会问题,学术问题,B
174,从宋代开始成为中国古代高等教育最主要形式的是,辟雍,泮官,太学,书院,D
175,教育方针的核心内容是,指导思想,实施途径,方法,培养目标,D
176,全面发展教育的核心是,德育,智育,体育,美育,B
177,根据美国学者马丁特罗的理论，如果一个国家的高等教育发展处于英才教育阶段时，其高等教育人学率应不高于(A)。,0.15,0.18,0.5,0.6,A
178,美国高等教育首先发展起来的是,国立大学,私立大学,州立大学,社区学院,B
179,中国高等教育政策取向可以概括为,只要效率，不考虑公平,公平与效率同等重要,公平优先，兼顾效率,效率优先，兼顾公平,D
180,根据美国学者伯顿的理论，实行“单一公立系统，单一管理部门”这一办学体制的国家是,意大利,法国,德国,日本,A
181,在中国，普通高校的博士研究生的基本修业年限是,1到2年,2到3年,3到4年,4到5年,C
182,中国现行的学位级别体系是,协士、学士、博士,学士、硕士、博士,学士、博士,硕士、博士,B
183,高校教师的聘用期限一般是,1年,2年,5年,10年,B
184,下列国家中，其高等教育宏观管理体制属于权力分散型的是,法国,美国,德国,意大利,B
185,以学术权力为主、高校内部权力重心明显倾向于基层教学和研究单位的高校管理模式被称为,欧洲大陆模式,美国模式,英国模式,亚洲模式,A
186,中国高校目前的领导体制是,完全的校长负责制,校董事会负责制,校务委员会负责制,党委领导下的校长负责制,D
187,在中国高校行政管理系统中，教学和科研的基层学术单位是,学院,专业,系,教研室,C
188,从能级结构来看，中国高校目前可以分成,2个能级,3个能级,4个能级,5个能级,B
189,对于教学为主的专科学校而言，其教师的职务结构通常是,倒金字塔型,卵型,金字塔型,梯形,C
190,下列表述中符合大学新生阶段特点的是,人生观和世界观具有不稳定性,希望获得爱情的体验,渴求温暖和友谊,工作、生活的紧迫感增强,C
191,高校的中心工作是,教学,科研,党团活动,社会实践,A
192,教学大纲的基本部分是,说明,教学目的,附录,正文,D
193,课程建设的核心是,编制教学计划,编制教学大纲,教材建设,考试评价,C
194,与学年相比，学分制的最大优点是,容易管理,灵活性强,有利于提高教学效率,有利于学生个性发展,B
195,下列表述中不符合讨论法特点的是,高年级学生更适合讨论法,班级学生之间关系融洽的更适合讨论法,较小的班级更适合讨论法,讨论法适合于解决问题，不适合于改变学生学习态度,D
196,在教育活动发生后对于教育效果的判断被称为,形成性评价,诊断性评价,总结性评价,过程性评价,C
197,在大学科研成果的分类中，那些解决了某一科学技术问题，具有一定创造性、先进性和使用价值的科技成果被称为,理论性成果,应用性成果,发展性成果,阶段性成果,B
198,教学外的社会实践活动一般的组织者是,学校教务处,学院,学校团委等,学生个人,C
199,下列表述中符合非专业实践活动特点的是,全体学生参加,以思想政治教育为主,实习场所比较固定,由教务处统一组织,B
200,开展大学生社会实践活动的根本目的是,培养人,出成果,带来经济效益,扩大影响力,A
