index,content,A,B,C,D,ans,科目
11,某思想政治教师在课堂教学中通过剖析自然现象，强调学生掌握马克思主义的方法论。其主要目的是帮助学生（）。,理解自然知识,树立科学精神,感知自然现象,激发公共参与,B,政治
12,《普通高中思想政治课程标准》强调“走出教室，迈入社会实践大课堂”。开展社会实践活动可以为教学提供（）。①更加清晰的目标②更加丰富的资源③更加广阔的空间④更加真实的情境,①②④,①③④,②③④,①②③,C,政治
13,思想政治课的教学设计能否反映活动型学科课程实施的思路，关键在于（）。,确定开展活动的议题,设计活动开展的策略,评价开展活动的结果,解决活动产生的问题,A,政治
14,马克思在《资本论》中指出：“吃穿好一些，待遇高一些，持有财产多一些，不会消除奴隶的从属关系和对他们的剥削，同样也不会消除雇佣工人的从属关系和对他们的剥削。”从根本上说这是因为（）。,工人被雇佣的地位没有改变,生产资料的资本主义私有制没有改变,无产阶级和资产阶级的矛盾依然存在,资本家对工人的压迫和剥削越来越大,B,政治
15,为了促进数字经济和实体经济融合发展，国资委加速推进国有企业数字化转型。这有利于（）。,提升国有企业创新活力,改变公有制的实现形式,强化国有经济主体地位,推动混合所有制改革,A,政治
16,英国脱欧以后，英镑兑人民币汇率由9.01变成9.08，这对中国的影响有（）。①人民币贬值，赴英国读书的支出增加②人民币贬值，海外代购的成本降低③英镑升值，原料进口成本增加④英镑贬值，出口企业价格优势上升,①②,①③,②③,②④,B,政治
17,根据《中华人民共和国反垄断法》，国家市场监管总局对国内一些互联网科技公司作出顶格处罚。这是为了（）。,发挥市场作用，调配市场资源,规范市场秩序，保障公平竞争,加强市场监督，规范市场准入,强化政府职能，树立政府权威,B,政治
18,建设现代化经济体系，必须把实体经济作为着力点。下列举措能有效促进实体经济发展的是（）。①以生产要素分配为主体，激发劳动者的积极性②深化供给侧结构性改革③营造脚踏实地、勤劳创业、实业致富的发展环境和社会氛围④把互联网、大数据、人工智能和实体经济深度融合,①②③,①③④,②③④,①②④,C,政治
19,下列可以以非国家工作人员作为犯罪主体的罪名是（）。,贪污罪,受贿罪,行贿罪,玩忽职守罪,C,政治
20,“十四五”时期，中国全面推进乡村振兴，促进新型城镇化、农业现代化全面发展，让人民拥有更多的获得感、幸福感和安全感。这反映了中国（）。,构建安全高效的全面开放体系,深入贯彻落实共享发展的理念,注重解决城乡人民生活困难,坚持节约资源、保护环境的基本国策,B,政治
21,人大代表广泛听取社会各界意见，在全国人民代表大会上对政府工作报告提出一系列修改建议，其中许多建议聚焦教育、医疗、养老、社保等民生问题。这充分说明（）。,人大是中国最高权力机关,中国的社会主义是民主与专政的统一,中国的一切权力属于公民,中国是人民当家作主的社会主义国家,D,政治
22,某市编制的《村民委员会选举规程》明确和规范了村民委员会选举的具体操作流程。这是为了（）。,完善基层政权组织,确立基层群众自治制度,提高基层治理水平,推动村民自治的多元化,C,政治
23,人类活动中如科学、美学、伦理学都可能产生宇宙观，而又受宇宙观的影响……哲学的功用是缓慢的，思想往往要潜伏好几个世纪，然后人类几乎是突然间发现它们已经在习惯中体现出来了。这一观点表明（）。,真正的哲学是时代精神的精华，是社会变革的先导,哲学是世界观与方法论的统一，推动具体科学的发展,哲学是科学之母，是一切具体科学之上的“科学之科学”,哲学以具体科学为基础并为具体科学的发展提供指导,D,政治
24,把某种可感知的具体物质当作世界的本原属于（）。,古代朴素唯物主义,近代机械唯物主义,现代辩证唯物主义,宗教唯心主义,A,政治
25,2020年我们已经准确预测了特大暴雨洪涝灾害，提醒人民要及时做好防范措施。这表明了（）。,人可以认识和利用规律,人为事物的联系是绝对的,量变是质变的必要准备,意识可以改造客观世界,A,政治
26,《管子·兵法》上说：“和合故能谐。”就是说，有了和睦、团结，行动就能协调，进而就能达到步调一致。从哲学角度看，“和合故能谐”体现了（）。,整体功能大于部分功能之和,矛盾的普遍性与特殊性是相互联结的,整体功能状态及其变化影响部分,优化系统内部要素会推动整体发展,C,政治
27,中国特色社会主义理论，既不提前设计，也不主观想象，而是在错综复杂的国内外局势中应运而生的。这表明（）。,主要矛盾和次要矛盾相互转化,认识是克服谬误接近真理的过程,真理是在实践基础上的具体的历史的统一,矛盾具有特殊性，不同事物具有不同的矛盾,C,政治
28,由于中国的中小学生过度使用手机的现象比较严重，极度影响学生的学习和生活，故国家教育部出台《有关中小学生使用手机的相关规定》，严格规范中小学生正确良好地使用手机。其中蕴含的哲学道理是（）。,量变是质变的结果,社会意识是社会存在的反映,上层建筑取决于经济基础,矛盾是事物发展的根本动力,B,政治
29,“听到学生们毕业后能为社会作出贡献，我觉得值了。”云南丽江华坪县女子高中校长张桂梅不惧碾作尘，无意苦争春，以怒放的生命，向世界表示倔强。这表明（）。,人们所创造的精神财富比物质财富更能满足他人和社会的需要,价值选择是人们能否实现事业成功和生活幸福的关键因素,实现人生价值需要在正确价值观指导下充分发挥主观能动性,积极投身于为人民服务的实践是创造和实现人生价值的客观条件,C,政治
30,《关于戏曲进校园的实施意见》的出台，是为了弘扬中华优秀传统文化、增强文化自信、促进戏曲传承发展。下列说法正确的是（）。①潜移默化地影响人②零距离感受中华戏曲的魅力③培养京剧专业化人才④文化对人的影响是深远持久的,①②,①③,②③,②④,A,政治
31,在北京冬奥会、冬残奥会申办、筹办、举办的过程中，广大参与者珍惜伟大时代赋予的机遇，共同创造了胸怀大局、自信开放、迎难而上、追求卓越、共创未来的北京冬奥精神。北京冬奥精神（）。,凝练了中华传统文化的灵魂,铸就了中华传统文化的辉煌,体现了中华革命文化的核心,丰富了中华民族精神的内涵,D,政治
32,近年来，中国民乐在欧洲的主流音乐厅多次上演，为欧洲听众带去了充满中国韵味的音乐享受，受到很高的评价。这表明（）。,不同国家的文化各具特色,文化既是民族的又是世界的,世界各国文化有趋同性,文化既是通俗的又是高雅的,B,政治
33,《中华人民共和国民法典》调整的是平等主体之间的财产关系和人身关系。下列属于民法调整对象的是（）。,学生与学校间的教育关系,国家与纳税企业间的税收关系,单位内部上下级之间的工作隶属关系,工商局购买办公用品时与销售方产生的买卖关系,D,政治
34,在中和滴定实验教学中，教师首先讲解实验原理和操作要点，再进行示范演示，然后要求学生按照实验操作步骤练习。该教师采用的教学方法有（）。①讲授法②演示法③练习法④讨论法⑤实验法⑥参观法,①②③⑤,①③④⑥,②③⑤⑥,①④⑤⑥,A,化学
35,凡在中国领域内犯罪的，适用法律时应遵循（）。,中国公民适用中国刑法，外国公民可以自愿选择适用哪国刑法,除法律有特别规定的以外，无论什么国籍都应适用中国刑法,中国公民适用中国刑法，外国公民适用其国籍国刑法,中国公民适用中国刑法，外国公民通过外交途径解决,B,政治
36,提出“笔墨当随时代”这一艺术观点的画家是（）。,张彦远,石涛,刘勰,谢赫,B,美术
37,目前已知铭文最长的青铜器是（）。,大盂鼎,大克鼎,散氏盘,毛公鼎,D,美术
38,浙江省博物馆的镇馆之宝《剩山图》是下列哪幅画的一部分？（）,《溪山清远图》,《富春山居图》,《洞庭渔隐图》,《千岩万壑图》,B,美术
39,郭熙在《林泉高致》中提出了“三远”，其中“深远”的含义是（）。,自山前而窥山后,自近山而望远山,自山下而仰山巅,身即山川而取之,A,美术
40,下列选项中，属于法国雕塑家布德尔作品的是（）。,《地中海》,《思想者》,《拉弓的赫拉克勒斯》,《加莱义民》,C,美术
41,擅长表现农民生活题材的尼德兰画家是（）。,列宾,老彼得·勃鲁盖尔,米勒,杨·凡·艾克,B,美术
42,下列选项中，标志现代设计教育诞生的学院是（）。,罗德岛设计学院,米兰理工大学,包豪斯设计学院,巴黎美术学院,C,美术
43,下列作品中，属于中国画白描作品的是（）。,《送子天王图》,《簪花仕女图》,《写生珍禽图》,《五牛图》,A,美术
44,“三大构成”是（）艺术门类的基础。,绘画,设计,雕塑,建筑,B,美术
45,中国传统园林的基本造园手法是（）。,雕梁画栋,叠山理水,人作天开,中轴对称,B,美术
46,依据普通高中美术课程标准，在下列选项中，高中毕业生应达到的合格要求是（）。,必修课程和选修性必修课程水平一,必修课程和选择性必修课程水平二,必修课程和选择性必修课程水平三,必修课程一和选修课程水平三均可,B,美术
47,在《托物寓情——“君子品格”写意花鸟画创作》一课中，设定的“理解中国古代文人的‘君子品格’”这一教学目标指向的学科核心素养是（）。,图像识读,美术表现,审美判断,文化理解,D,美术
48,张老师在教学中引导学生鉴赏中国山水画作品，并在此基础上学习创作山水画，该学习模块是（）。,美术鉴赏,绘画,中国书画,设计,C,美术
49,关于美术教科书的编写，下列选项中，不恰当的表述是（）。,应体现美术课程理念,应体现美术课程的人文性质,应体现时代特点,应体现以教师为中心的编写理念,D,美术
50,能帮助有效理解“大观念”，引导学生深度学习的上位问题是（）。,真实问题,小问题,基本问题,问题链,C,美术
51,郝老师在上《方寸之间——篆刻闲章与姓名印》一课时，下列选项中，适合作为教学目标的是（）。,了解木刻的艺术特征和常用技法。,了解篆刻的艺术特征，学习篆刻技法,掌握公章及私印的特征和常用技法,掌握甲骨文、钟鼎文、小篆等古文字,B,美术
52,下列选项中，属于《人性的觉醒——文艺复兴美术》一课“情感、态度和价值观”的教学目标是（）。,理解文艺复兴时期美术表现特征,识别文艺复兴时期代表画家及其作品,分析文艺复兴时期美术作品所体现的形式变化，培养图像识读等素养,感受文艺复兴时期美术作品所蕴含的人文主义精神，赞同文明与进步,D,美术
53,王老师在《形态与材料——架构室内空间》一课教学时，让学生围绕“空间尺寸、形状和材料如何影响室内设计”进行分组调查、策划、绘制草图。下列选项中，对此描述不正确的是（）。,探究学习,自主学习,接受学习,合作学习,C,美术
54,张老师在上《传统文化街区改造》单元课时，设计了若干学习活动。下列选项中，设计不合理的是（）。,赏析古街改造的成功案例,画出设计草图,观看现代都市街区景观视频,现场访谈、拍摄,C,美术
55,下列选项中，关于微格教学和微课教学主要区别的描述，不恰当的是（）。,时间长短不同,教学平台不同,上课形式不同,教学对象不同,A,美术
56,教学活动中，为了更好地达成教学目标，在一节课或一个知识点讲解后进行的小测验属于（）。,终结性评价,表现形成评价,形成性评价,多主体评价,C,美术
57,教师要求学生提交艺术作品及创作过程等资料进行档案袋评价。下列选项中，适合放入档案袋的是（）。①评价量规②纸笔测验③视觉日志④鉴赏报告,①②③,②③④,①③④,①②④,B,美术
58,歌舞大曲是集歌唱、舞蹈、器乐为一体的多段体大型宫廷乐舞形式。下列哪个作品相传是由唐玄宗李隆基根据西凉节度使杨敬述进献的《婆罗门曲》改编而成的大曲？（）,《破阵曲》,《霓裳羽衣曲》,《天授乐》,《鸟歌万岁乐》,B,音乐
59,人民音乐家冼星海是中国近现代著名作曲家，下列哪首歌曲是他创作的？（）,《在太行山上》,《嘉陵江上》,《松花江上》,《在那东山顶上》,A,音乐
60,《夕阳箫鼓》是一首琵琶古曲，上世纪20年代被“大同乐会”改编为民乐合奏，其曲名是（）。,《彩云追月》,《渔舟唱晚》,《平湖秋月》,《春江花月夜》,D,音乐
61,在欣赏当代器乐作品时，可以按照时间顺序，以了解音乐发展的脉络。下列乐曲按照创作年代排序正确的是（）。①《红旗颂》②《御风万里》③《北京喜讯到边寨》,①③②,②①③,③①②,①②③,A,音乐
62,蒙古族长调民歌是一种具有鲜明游牧民族文化和地域文化特征的独特演唱形式，下列属于蒙古族长调作品的是（）。,《阿拉木汗》,《达坂城的姑娘》,《半个月亮爬上来》,《富饶辽阔的阿拉善》,D,音乐
63,上世纪80年代，许多中国作曲家借鉴运用西方器乐体裁丰富我国传统乐器二胡的表现力，形成“新民乐”的创作高潮。下列哪首作品是创作于这一时期的二胡协奏曲？（）,《长城随想曲》,《三门峡畅想曲》,《汩罗江幻想曲》,《达渤河随想曲》,A,音乐
64,婺剧又称“金华戏”，2008年经国务院批准列入第二批国家级非物质文化遗产名录，金华某高中将婺剧艺术带入课堂，并开设相关课程。这课程的性质是（）。,基础课程,专业课程,校本课程,国家课程,C,音乐
65,姜老师在音乐鉴赏教学时，引导学生关注《第六“田园”交响曲》的节奏和力度变化，这体现了哪种理念？（）,所指论,表现主义,形式主义,感官主义,C,音乐
66,“然则先王之为乐也，以法治也，善则行象德矣。”这句话强调了音乐的（）。,审美功能,教化功能,认知功能,娱乐功能,B,音乐
67,老师在教唱歌曲《教我如何不想她》时，通过教师范唱，引导学生关注第一句中云的轻柔和缥缈，并运用丝巾模拟云和风的触感，由此启发学生感受音乐之美。这一教学环节运用了音乐教学的（）原理。,守恒,泛化,从众,联觉,D,音乐
68,“新学期伊始，王老师在“音乐与戏剧”模块第一课教学时，让每位学生进行了音乐剧编创并对展示情况做了表现记录，作为教学及期末考核的依据”，这种评价方式是（）。,诊断性评价,标准性评价,终结性评价,总结性评价,A,音乐
69,音乐课上，教师让一位同学指挥，一位同学领奏，其他同学合奏《春江花月夜》。这一教学活动体现了哪个模块的教学活动？（）,歌唱,演奏,音乐编创,音乐鉴赏,B,音乐
70,在《轻骑兵序曲》中，作曲家选用了下列哪类乐器组表现了轻骑兵的主题音调？（）,弦乐,木管,铜管,打击乐,C,音乐
71,音乐课上，周老师讲解了我国古代“八音分类法”，希望大家课后搜集材料制作乐器。小明想制作匏类乐器，他应该选择的原材料是（）。,石头,木盒,葫芦,易拉罐,C,音乐
72,奏鸣曲式的结构中，可以省略的部分是（）。,呈示部,主部呈示,展开部,副部再现,C,音乐
73,下列有关细胞中的元素和化合物的叙述正确的是（）。,1分子果糖可以分解成2分子葡萄糖,ATP、DNA和RNA的结构中都有腺嘌呤,细胞膜上的糖蛋白具有识别、保护及运载功能,植物细胞吸收元素N用于合成脂肪、核酸以及蛋白质,B,生物
74,下列有关基因和性状的叙述不正确的是（）。,环境因素与基因共同决定性状,基因通常是有遗传效应的DNA片段,基因通过无性繁殖传递给子代符合基因的分离定律,碱基的种类、数目、排列顺序赋予了DNA分子的多样性,D,生物
75,下列有关神经调节的叙述正确的是（）。,兴奋在体内反射弧中可以双向传导,神经细胞外的内流是产生静息电位的基础,神经递质乙酰胆碱出入细胞均不需要消耗ATP,突触小体释放神经递质的过程中电信号转换成化学信号,D,生物
76,我国每年有几十万新生儿患有各种各样的遗传病，因此对遗传病进行早期干预和预防具有重要意义。下列有关人类遗传病的叙述正确的是（）。,单基因遗传病是由一个致病基因控制的遗传病,21三体综合征是一种染色体结构异常的遗传病,调查某种遗传病的遗传方式应该在人群中随机调查,通过遗传咨询、产前诊断和干预等手段，能有效降低遗传病的发生,C,生物
77,原核生物和真核生物在地球上长期共存，形成了复杂的关系。例如导致小鼠患病的致病菌，能刺激分支丝状菌的增殖，并分泌白细胞介素等细胞因子。下列有关叙述正确的是（）。,分支丝状菌是一种导致小鼠患病的致病菌,白细胞介素和抗体等都属于免疫活性物质,分支丝状菌遗传方式符合孟德尔遗传规律,线粒体是分支丝状菌细胞呼吸的主要场所,B,生物
78,人体在出汗时会刺激下丘脑水盐平衡调节中枢。下列有关叙述正确的是（）。,大量出汗可能会使血浆pH下降,大量出汗有利于机体体温的稳定,大量出汗可能导致血浆渗透压降低,大量出汗是因为人体产热量小于散热量,B,生物
79,下列有关生物实验的叙述不正确的是（）。,“性状分离比的模拟实验”中，要将每次抓取的小球放回原来的小桶内,“检测生物组织中的蛋白质”实验中，要先加入双缩脲试剂A液，再加入B液,“使用高倍显微镜观察几种细胞”实验中，换成高倍镜后调节粗准焦螺旋使物像清晰,“探究酵母菌细胞呼吸方式”实验中，将酵母菌的培养时间适当延长以耗尽溶液中的葡萄糖,C,生物
80,毒品是指可卡因等有害健康的物质。2008年，《中华人民共和国禁毒法》正式实施。有关毒品，下列叙述不正确的是（）。,吸食可卡因等毒品会使人产生心理依赖,从境外带回毒品卖给他人吸食属违法行为,毒品的作用机理都是使突触前膜神经递质释放受阻,向社会宣传毒品的危害是我们每个人应尽的责任和义务,C,生物
81,生物进化的理论在三百多年的发展历程中不断淘汰旧学说、吸纳新观点。某教科书上写到……。这主要体现了生物学知识的特性是（）。,主观性,客观性,暂定性,稳定性,C,生物
82,情境创设在生物学教学中的主要作用是（）。①凸显学生的主体地位②强化教师的课堂主导地位③调动学生参与课堂教学的积极性④发展学生核心素养,①②③,①②④,①③④,②③④,C,生物
83,生物学课程核心素养包括a生命观念、b科学思维、c科学探究、d社会责任四个方面。某教师在“生态系统的稳定性”一节中设计了如下教学目标：①为当地生态系统的利用和可持续发展提出有价值的建议；②收集恰当的生物和非生物材料，尝试制作生态瓶；③通过对各种成分功能和营养结构关系的讨论，运用反馈调节的原理，分析不同生态系统维特其稳定性的相对能力。下列有关对应关系，正确的是（）。,①—d，②—c，③—a、b,①—a，②—c，③—b、d,①—d，②—b，③—a、c,①—a，②—d，③—c、d,A,生物
84,为了调查影响教师线上教学质量的因素，某教师设计了李克特五点量表。下列做法中合理的是（）。,为了保证调查的内容详实，尽可能多地设计量表题目,为了方便取样，通过某“新手教师交流群”完成问卷采集,先向教师分析影响线上教学质量的常见因素，再对其进行调查,对于个别问卷中缺失的数据，统计时采用均值替代法进行补充,A,生物
85,普通高中数学课程标准突出的四条内容主线是（）。,函数、几何与代数、概率与统计、数学建模活动与数学探究活动,函数、图形与几何、概率与统计、数学建模活动与数学探究活动,代数、图形与几何、概率与统计、数学建模活动与数学探究活动,代数、函数、图形与几何、概率与统计,A,数学
86,下面不适合作为指数函数模型教学的是（）。,种群增长问题,放射物衰减问题,复利问题,自由落体问题,D,数学
87,甲乙两人独立的对同一个目标进行射击，其命中率分别为0.4和0.5，则目标被命中的概率是（）。,0.6,0.7,0.8,0.9,B,数学
88,最早提出“黄土由来”风成说的学者是（）。,洪堡,李希霍芬,马东南,维达尔,B,地理
89,根据不同区域的环境承载能力和发展潜力，按区域分工和协调发展的原则划分的具有某种功能特征的规划区域是（）。,主体功能区,部门经济区,经济类型区,行政区,A,地理
90,下列关于集聚效应的叙述，正确的是（）。,产业集聚增加交易成本,产业集聚产生规模效应,产业集聚阻碍经济发展,产业集聚增加运输成本,B,地理
91,风沙移动的最主要方式是（）。,蠕移,悬移,跃移,推移,C,地理
92,某些新思想、新技术在面临区域传播往往是跳跃紧邻的，小城市在相对较远但属同级规模的城市中率先被接受，然后向次一级城市扩散，这种扩散的类型是（）。,等级扩散,传染扩散,扩展扩散,迁移扩散,A,地理
93,2021年2月19日，公安机关接群众举报，网民“辣笔小球”在网络上发布恶意歪曲事实真相、诋毁贬损5名卫国戍边英雄官兵的违法言论，造成极其恶劣的社会影响。南京市公安局高度重视，立即开展调查，于当晚将发布违法言论的仇某某（网名“辣笔小球”）抓获，仇某某对自己的行为供认不讳，被南京警方以涉嫌寻衅滋事罪刑事拘留。下列说法正确的是（）。,这不属于对戍边英雄的侵害，纯属网络环境下的个人兴趣爱好,对网上诋毁贬损戍边英雄行为，公安机关将依法予以严厉打击,网络是虚拟空间，利用网络诋毁贬损戍边英雄影响面小不必介意,网络是虚拟空间，诋毁贬损戍边英雄有利于在网上扩大个人影响,B,信息技术
94,在某些商场、店铺，安装带有人脸识别功能的摄像头，使用“无感式”人脸识别技术在未经同意的情况下擅自采集消费者人脸信息，分析消费者的性别、年龄、心情等，进而采取不同营销策略。人脸识别的滥用可能会造成安全隐患，则以下说法不正确的是（）。,处理人脸信息需自然人或者其监护人同意的范围内合理处理,商场应公开处理人脸信息的规则或处理的目的、方式、范围,人脸识别是摄像头的有机组成部分,商场所收集的人脸信息只能用于维护公共安全的目的，不得用于其他目的,C,信息技术
95,"SQL的查询语句“SELECT所属部门,AVG(工资)AS平均工资FROM员工数据库WHERE所属部门NOTLIKE""销售部门""GROUPBY所属部门”的含义为（）。",从员工数据库中检索销售部门的平均工资,从员工数据库中检索销售部门和其他部门的平均工资,从员工数据库中检索销售部门和其他部门的总工资,从员工数据库中检索除了销售部门以外其他部门的平均工资,D,信息技术
96,一个完整的数字签名过程包括验证和（）两个步骤。,加密,解密,签名,可完整传输,C,信息技术
97,以下属于网络安全威胁的是（）。,非授权访问、病毒感染、信息泄露、拒绝网络服务,信息泄露、非授权访问、病毒感染、硬盘损坏,信息篡改、非授权访问、病毒感染、硬盘损坏,网络异常、非授权访问、信息篡改、病毒感染,A,信息技术
98,"设有关系模式R(A,B,C,D,E)，R旳函数依赖集：F={A→B,E→D,BC→D,CD→A}。R的候选码为（）。",AE,BE,CE,DE,C,信息技术
99,腹直肌位于腹前部正中线两侧，发展该肌肉力量的练习是（）。,仰卧左右剪腿,坐位负重伸小腿,杠铃负重深蹲,肋木悬挂翻臀举腿,D,体育
100,肝脏是人体中最大的消化腺，其基本结构功能单位是（）。,肝血窦,肝细胞,门管区,肝小叶,D,体育
101,科学的体育锻炼可对神经元的结构产生良好作用，主要表现为（）。,神经元树突棘减少,神经元树突减少,神经元树突棘增多,神经元轴突增多,C,体育
102,心源性猝死在运动性猝死中所占比例最大，其诱发因素与下列哪一血管堵塞有关？（）,胸主动脉,左右冠状动脉,腹主动脉,左右锁骨下动脉,B,体育
103,大强度运动训练后可能出现蛋白尿，产生的原因是（）。,滤过屏障受损,重吸收能力降低,分泌功能增加,排泄能力提高,A,体育
104,篮球运动中的准确投篮动作受大脑皮层的控制与支配，其神经传导通路是（）。,锥体系和锥体外系,本体感觉通路和锥体外系,锥体系和皮肤感觉通路,皮肤感觉通路和锥体外系,A,体育
105,快肌纤维占比高有利于力量性和速度性项目的发展，它的主要特征有（）。,直径细、收缩快、耐力性差,直径粗、收缩慢、耐力性好,直径粗、收缩快、耐力性差,直径细、收缩慢、耐力性好,C,体育
106,心肌的生理特性有兴奋性、传导性、收缩性和自动节律性，但其电生理特性不包括（）。,兴奋性,传导性,收缩性,自动节律性,C,体育
107,下列指标可以用于评价肺通气功能，但能较好反映其功能的动态指标是（）。,肺活量,时间肺活量,连续肺活量,最大通气量,B,体育
108,短道速滑运动员经过弯道时身体内倾角度较大，但经调节仍能维持身体平衡，此过程起主要作用的感受器是（）。,椭圆囊,球囊,囊斑,壶腹嵴,D,体育
109,化学与社会生产、生活密切相关，下列说法正确的是（）。,天宫二号使用的碳纤维，是一种新型的有机高分子材料,可以用浸有酸性高锰酸钾溶液的硅藻土做水果保鲜剂,可以焚烧废旧塑料以防止“白色污染”,用含有重铬酸钾的仪器测试司机是否酒驾利用了乙醇的氧化性,B,化学
110,下列属于描述技能性学习目标的行为动词是（）。,认识,评价,解释,模仿,D,化学
111,章节教学过程中的单元测试属于（）。,诊断性测试,终结性测试,选拔性测试,形成性测试,D,化学
112,化学教师常用“浮、熔、游、响、红”五个字概括钠与水反应的实验现象，这五个字体现了实验观察应该（）。①全面②仔细③准确④形象,①,①②,①②③,①②③④,D,化学
113,有机化学中，还原反应与加成反应两个概念之间的关系是（）。,从属关系,交叉关系,对应关系,重合关系,B,化学
114,下列关于演示实验的说法不合理的是（）。,实验开始前，要告诉学生观察什么,实验结束后教师要立刻分享实验结论,实验可以是学生和教师共同操作,教师课前应试做演示实验,B,化学
115,学生学习中采用了以氯气的性质为核心，将氯气的制法、检验、保存、用途等知识组织起来形成彼此相互联系的整体的策略，这种策略属于（）。,联系—预测策略,多感官协同记忆策略,知识结构化策略,先行组织者策略,C,化学
116,下列说法不正确的是（）。,化学作业除了习题形式外，还可以采取实验报告等形式,教师备课主要是准备典型性例题和练习题，以提高教学效率,教学过程既包括教师教的过程，也包括学生学的过程,教学评价既包括对学生的评价，也包括对教师的评价,B,化学
