index,content,A,B,C,D,ans
90,学校的心理辅导老师应该对学生的未来持有乐观积极的态度，不会给蹙额生贴标签，这说明心理辅导应遵（）。,理解性原则,整体性原则,主题化原则,发展性原则,D
91,杨老师经常担心的问题是：“这些内容是学生们需要的吗?”“我这样教，学生能接受吗?”这表明杨老师所处的教师专业发展阶段是()。,虚拟关注阶段,生存关注阶段,自我更新关注阶段,任务关注阶段,C
92,刘老师尝试用学生耳熟能详的流行歌曲旋律对学生需要掌握的学科知识进行重组，形成一系列别具特色的“教学工具包”，取得了良好的效果，还主动与同事分享。关于刘老师的做法，下列说法不正确的是()。,体现了教学内容的关联性,实现了学生发展的多样性,注重了教学方法的艺术性,尊重了学生认知的规律性.,B
93,教数学的陈老师根据学生上学期期末成绩将学生分为A、B、C三类，并对三类学生制定了不同的教学计划。陈老师的做法体现的是()。,学生发展的个体差异性,学生发展的不平衡性,学生发展的未完成性,学生发展的阶段性,A
94,围绕“利用乡土地理资源培养中学生区域认知素养”的主题，罗老师提炼出契合课程标准要求的“大单元整体教学”设计思路，用于指导青年教师团队深化教学理解实践转化。罗老师的行为体现的教师角色是()。,咨询者,研究者,领导者,评价者,B
95,依据《中华人民共和国宪法》，下列选项不属于全国人民代表大会常务委员会职权的是()。,制定行政法规,监督宪法实施,解释法律,解释宪法,A
96,社会青年杨某到某中学寻衅滋事，扰乱学校的教育教学秩序。依据《中华人民共和国教育法》，应由()。,公安机关给予治安管理处罚,教育行政部门给予行政拘留,公安机关给予行政记过处分,教育行政部门给予行政处分,A
97,某中学教师梁某因旷工被学校解聘。他对学校的处理决定不服，向当地教育行政部门提出申诉，教育行政部门应当()。,在接到申诉的十日内作出处理,在接到申诉的十五日内作出处理,在接到申诉的二十日内作出处理,在接到申诉的三十日内作出处理,D
98,下列选项中，对我国中小学教科书价格的表述，正确的是()。,由出版机构和教科书版权人按照市场主导原则共同协商确定,由各级教育行政部门按照“市场为主，政府补贴”原则确定,由各级价格行政部门会同同级出版主管部门按照微利原则确定,由各级教育部门按照“价低质优”原则面向社会公开招标确定,C
99,初中学生小航因有严重不良行为被送到专门学校接受教育。依据《中华人民共和国预防未成年人犯罪法》，下列说法正确的是()。,学校可以开除小航的学籍,学校应当保留小航的学籍,学校应当为小航办理休学手续,学校应将小航的学籍转至专门学校,B
100,小周未完成义务教育就辍学了，班主任多次家访劝返都没有取得效果。依据《中华人民共和国未成年人保护法》，学校应当采取的措施是()。,责令小周的父母接受家庭教育指导,依法将小周交由民政部门进行监护,及时向纪检监察部门书面报告,及时向教育行政部门书面报告,D
101,上初二的学生秦某厌学想辍学打工，经家长同意后，独自外出打工了。该家长的做法()。,正确，有助于锻炼秦某独立生活能力,正确，有益于培养秦某工作能力,不正确，家长应让秦某继续上学,不正确，家长应让秦某就近打工,C
102,上高二的学生孙某在学校放假期间，进入学校玩耍不慎摔伤，下列说法正确的是()。,学校承担无过错责任,孙某本人承担过错责任,孙某监护人承担过错责任,孙某班主任承担过错责任,B
103,班上一学生最近严重失眠，李老师与医生讨论如何帮助学生，建议直接到医院治疗即可，李老师觉得作为教师应该给学生更多的关爱。这表明教师的职业道德原则具有()。,全面性,独特性,稳定性,基准性,B
104,吴老师教学经验丰富，同事经常向他取经，他并不满足现状，坚持了解所教学科的前沿知识，不断创新。下列选项与该案例所体现教师职业道德相符的是()。,“不能正其身，如正人何?”,“后生可畏，焉知来者之不如今也?”,“可以与人终日而不倦者，其唯学乎?”,“知之者不如好之者，好之者不如乐之者。”,C
105,某中学教学楼旁的仓库突然起火了，正在教学的向老师没有第一时间组织学生有序离开教室，受到记过处分。依据《中小学教师违反职业道德行为处理办法》，该处分期限为()。,6个月,12个月,24个月,36个月,B
106,为了促进学生更好地完成作业，于老师经常将班上学生的优秀作业和不合格作业及名单公布在班级家长群里，引起部分家长的不满。于老师向家长耐心解释这样做的目的，并保持此作业发布方式。于老师的做法不妥，体现出他和家长的冲突是()。,道德情感的冲突,道德意志的冲突,道德认知的冲突,道德信念的冲突,C
107,丘成桐是第一位获得“国际杰出数学发现奖”的华人数学家，该奖项被誉为“数学的诺贝尔奖”，它的另一名称是()。,海内肯奖,帕内蒂奖,菲尔兹奖,齐格勒奖,C
108,在约公元前2000年中期，波斯人从中亚细亚一带迁至伊朗高原西南部，于公元前556年建立了波斯帝国，建立该帝国的是()。,居鲁士二世,大流士一世,阿育王,克洛维,A
109,夏完淳是我国南明抗清将领，诗人，顺治二年清兵下江南，14岁的夏完淳随父亲夏允彝，老师陈子龙起兵抗清，被捕后不屈被杀，年仅17岁。所作近400首诗词，慷慨悲壮，几乎字字血泪，多为人传诵。下列诗篇中，属于夏完淳作品的是()。,《别云间》,《正气歌》,《秋日杂感》,《己亥杂诗》,A
110,世界文学人物画廊中，有许多经典的女性形象，下列人物形象中，由法国作家巴尔扎克塑造的是()。,娜拉,卡门,喀秋莎·玛丝洛娃,欧也妮·葛朗台,D
111,我国的成语大多与历史事件和历史人物有关。“四面楚歌”比喻四面受敌，处于孤立危急的困境。这一成语出自《史记》，与这个成语相关的历史人物是()。,毛遂与平原君,韩信与项羽,廉颇与蔺相如,屈原与怀王,B
112,宣纸是产自中国的一种书写绘画用纸，具有纯白、细密、均匀、柔软、经久不变色等特点，能更好地表现中国书法绘画艺术的神采和风韵。下列选项中，与宣纸名称由来有关的是()。,材质,用途,产地,工艺,C
113,音乐通过一定形式的音响组合表现人们的思想情感和生活情态，有不同的流派与风格。下列选项中，19世纪末产生于美国新奥尔良，()主要来源于黑人劳动歌曲等形式。,古典音乐,爵士音乐,标题音乐,主调音乐,B
114,雪山草地是红军长征中走过的极为艰难的路段，“草毯泥毡扎营盘”是当年红军过草地的真实写照。在我国现行的行政区划中，下列不属于红军当年过草地经过的是()。,红原县,若尔盖县,平昌县,松潘县,C
115,"中位数是一组统计数据中的代表性数值。在一次考试后采集到一组数据{54,66,87,74,78,81,73,83,77}，则这组数据的中位数是()。",74,75,77,78,C
116,Word中，若当前选定的文档中包含有多种字号的文字，则工具栏的字号框所显示的内容是()。,无显示内容,文档中最小的字号,首字的字号,文档中最大的字号,A
117,下列选项中，与“制服-服装”的逻辑关系相同的是()。,“语文”和“文学”,“汽水”和“饮料”,“领带”和“围巾”,“皮鞋”和“皮包”,B
118,在我国教育理论发展过程中，明确提出“生活教育论”，主张“生活即教育”“学校即社会”，强调“教学做合一”的教育家是(),蔡元培,黄炎培,杨贤江,陶行知,D
119,教育是新生一代成长和社会延续与发展不可或缺的手段，是一切人和社会所必需的。这说明教育具有(),历史性,阶级性,永恒性,独立性,C
120,教育的生物起源论和心理起源论的共同点是(),将教育视为本能模仿,忽视教育的社会属性,否认动物界存在教育,强调教育的目的性,B
121,一个国家教育事业发展的规模和速度归根结底是由下列哪一因素决定的?(),生产力水平,政府重视,人口数量,文化传统,A
122,“蓬生麻中，不扶自直;白沙在涅，与之俱黑。……故君子居必择乡，游必就士，所以防邪僻而近中正也。”在影响人的身心发展的因素中，荀况这段话强调的是(),遗传的先天制约,教育的主导作用,个体主观能动性,环境的潜移默化,D
123,任何时代、任何形态的教育活动，不可缺少的基本构成要素是(),教育者、受教育者、教育中介,教育者、受教育者、教育技术,教师、学生、教学内容,教师、学生、教学计划,A
124,2001年以来，我国基础教育课程改革要求对九年制义务教育课程设置实行(),六三分段,五四分段,四二三分段,九年一贯,D
125,强调教学重视学科基本结构和学生能力培养，提倡“发现学习”的教育家是(),凯洛夫,赞可夫,布鲁纳,罗杰斯,C
126,备课是上课的先决条件。备课应该做好的三方面工作是(),钻研教材、了解学生和考虑教法,钻研教材、了解学生和准备教具,钻研教材、阅读教参和考虑教法,钻研教材、阅读教参和了解学生,A
127,美国学者20世纪50年代提出的一种把大班上课、小班研究和个别教学三种教学方式结合起来的教学组织形式是(),分组教学,复式教学,特朗普制,道尔顿制,C
128,新学期开始的第一周，班主任李老师每天早上都把教室打扫得干干净净。一周后，李老师安排学生值日，同学们都非常认真负责，出色地完成了值日任务。李老师采用的德育方法是(),品德评价法,自我修养法,榜样示范法,说服教育法,C
129,苏菲想给王老师打电话，却没有电话号码，询问同学后随即拨通电话。通话结束后，她便忘了电话号码。苏菲对电话号码的记忆属于(),内隐记忆,瞬时记忆,短时记忆,长时记忆,C
130,丁老师正在上课，突然有人敲门，这时学生都不由自主将目光转向门口。学生的这种注意属于(),有意注意,无意注意,有意后注意,无意后注意,B
131,曹虹确信自己能出色地完成老师布置的各科作业。这反映了她的哪一心理品质?(),自我效能,自我促进,自我监控,自我强化,A
132,杨亮常制定学习计划，但执行计划时总是半途而废。这主要反映了他意志品质的哪一特性?,果断性,坚韧性,理智性,独立性,B
133,青春期的学生在心理上成人感及幼稚感并存。这主要体现了学生心理发展的哪种特点?(),动荡性,自主性,前瞻性,失衡性,A
134,白雪自小受到母亲细心照料，从未离家独立生活。她初中入学刚住校就出现了不明原因的哭泣、无力、心疼与食欲不振。为此，母亲到学校陪她住了几天，白雪的症状消失，恢复正常。但母亲返家，其症状再现。白雪的这种心理问题属于(),学习问题,适应问题,气质问题,认知问题,B
135,初中生海博考试不及格，便到老师面前哭哭啼啼，苦苦哀求，表现得像一个小孩儿。他的这种心理防御机制是(),否认,压抑,退行,补偿,C
136,张铭非常喜欢王老师，愿意接受王老师的教导，并在观点、行动方面与王老师的要求保持一致。这说明张铭的品德发展处于哪一个阶段?(),认同阶段,服从阶段,依恋阶段,内化阶段,A
137,张老师在工作中对学生非常严厉，且要求学生必须服从。他的班级管理风格属于(),仁慈型,民主型,专断型,放任型,C
138,在课堂上，学生能准确识别班级行为准则和个人行为准则，并以这些行为准则约束自己的行为。这种课堂纪律类型属于(),教师促成纪律,群体促成纪律,任务促成纪律,自我促成纪律,D
139,肖老师认为:“教师在课堂教学中不能只关注学生学科层面知识，还有关爱学生，建立和谐的师生关系。”她在日常工作中也以此为行动指南，这说明肖老师所处的教师专业发展阶段是()。,虚拟关注阶段,自我更新关注阶段,生存关注阶段,任务关注阶段,B
140,初一(6)班的康老师跟同事抱怨:“有的学生学习习惯差，怎么也学不好，他们到了初二，初三肯定跟不上。”康老师的这种说法()。,忽略了学生发展的整体性,忽略了学生发展的不可逆性,忽略了学生发展的阶段性,忽略了学生发展的未完成性,D
141,中学生小卓逃课想去网吧，正在翻阅围墙时，听到有同学说老师来了，由于精神紧张从墙上掉下来导致右脚扭伤，关于这事故中学校应承担的法律责任，下列说法正确的是,学校不承担赔偿责任,学校应承担连带责任,学校应承担补充责任,需要应承担赔偿责任,A
142,因外出务工，初中生琳琳的父母不能履行对琳琳的监护职责。依据《中华人民共和国未成年人保护法》的有关规定，他们可以采取的做法是,指定琳琳所在学校代为监护,委托琳琳的伯父代为监护,要求当地人民政府代为监护,要求当地民政部门代为监护,B
