index,content,A,B,C,D,ans
34,小勇做数学题时，常常边演算边自言自语，这说明小勇内部言语的发展处于,具象思维阶段,抽象阶段,出声阶段,无声阶段,C
35,布鲁纳认为，无论我们选择何种学科，都务必使学生理解该学科的基本概念和原理。这一观点属于,形式主义课程理论,结构主义课程理论,人本主义课程理论,科学主义课程理论,B
36,下列表述中，最能体现启发性教学原则的是,开而弗达,不陵节而施,温故而知新,学而时习之,A
37,在教学过程中，老师确定教学难点最重要的依据是,教学所需的设备,教师的业务素质,教学内容的性质,学生发展水平,D
38,为减轻小学生学习压力，目前倡导的考试成绩呈现方式为,百分制,等级制,排名制,不分等级,B
39,把大班上课、小班讨论、个人独立研究结合在一起，并采用灵活的时间单位代替固定上课时间。这种教学组织形式是,个别教学,复式教学,道尔顿制,特普朗特制,D
40,主张在教育教学过程中采用非指导性教学的学者是,马斯洛,罗杰斯,布鲁姆,布鲁纳,B
41,甲学校办学水平低，近几年通过努力较先进有所提升，得到教育主管部门的表扬，而乙学校的办学水平尚可，却因努力不够、停滞不前，教育主管部门对其进行了批评。这种批评属于,相对评价,绝对评论,自我评价,增值评价,A
42,校本课程开发必须考虑的首要因素是(),教师的主动参与,家长的广泛支持,学生的兴趣和需要,丰富的课程资源,C
43,董老师认为，只有成绩优秀的学生才是好学生。这一认识忽视了学生（）。,发展的独立性,发展的主体性,发展的全面性,发展的主动性,C
44,数学课上，李老师正津津有味地讲解例题，小雨站起来兴奋地说：“老师，我想了一个更简便的方法！”李老师眼一瞪，说：“就你聪明！赶紧坐好，认真听课！”下列关于李老师做法的表述，不正确的是（）。,不利于培养学生的创新意识,不利于营造良好的师生关系,不利于培养学生的实践能力,不利于发挥学生的主体作用,C
45,针对学生注意力分散的问题，唐老师运用教育学、心理学理论对学生的认知特点进行了全面分析，设计了矫正方案并实施，取得了良好效果。唐老师的做法体现的教师专业发展途径是（）。,行动研究,校本教研,专业引领,进修培训,A
46,李老师在交流经验时说：“尽管我课前已经准备好了教学设计，但在实际教学过程中还是灵活地调整了教学策略。”李老师的做法表明教师的专业实践具有（）。,阶段性,情境性,长期性,发展性,B
47,根据《中华人民共和国教育法》，中华人民共和国公民不分民族、种族、性别、职业、财产状况、宗教信仰，依法享有（）。,公平的受教育机会,平等的受教育机会,公平的受教育条件,平等的受教育条件,B
48,某小学规定，没有完成暑假作业的学生，一律不准到校上课。该校的做法（）。,合法，学校有自主管理权,合法，学校有惩罚学生的权利,不合法，学校侵犯了学生的休息权,不合法，学校侵犯了学生的受教育权,D
49,小学生孙某经常与同学打架，班主任以此为由再也不让他参加学校、班级的各种文体活动。该班主任的做法（）。,正确，有利于班级管理,正确，有利于警示学生,不正确，教师不得歧视学生,不正确，教师应征得家长同意,C
50,为保障学生安全，某校要求所有学生购买学校统一采购的带有定位功能的智能手环。该校的做法（）。,正确，有利于学校对学生的统一管理,正确，有利于家长及时了解孩子信息,不正确，购买智能手环应报教育行政部门审批,不正确，是否购买智能手环是学生自己的事情,D
51,教师王某向学校提出辞职，当天便离开学校，所任课程教学受到影响。王某的做法（）。,正确，教师有辞职的权利,正确，教师有教学的自由,不正确，教师在聘期内不能辞职,不正确，辞职应提前向学校申请,D
52,依据《中华人民共和国未成年人保护法》，关于未成年人的社会保护，下列说法不正确的是（）。,任何人不得在中小学、幼儿园吸烟、饮酒,学校发生突发事件时，应当优先救护未成年人,任何组织或者个人不得利用教材发布商业广告,任何组织或者个人不得招用未满18周岁的未成年人,D
53,因父母长期外出务工，一小学生小红跟祖父母一起生活。他在放学自行回家途中将同学打伤。应对该事件承担赔偿责任的主体是（）。,小红,小红祖父母,小红父母,学校,C
54,全国人民代表大会每届的任期是（）。,6年,5年,4年,3年,B
55,有几位家长的教育理念有些偏颇，甚至与吴老师的相悖，影响了教育效果。吴老师感到很无奈。但考虑到学生的发展，吴老师还是花大量的时间和精力与这些家长沟通，以求形成教育合力。这表明（）。,家校矛盾具有非对抗性,家校协作关系具有选择性,家校地位具有非对等性,家校根本利益具有相异性,A
56,某小学一（3）班的宁宁数学运算经常出错，于是段老师经常和宁宁一起做“摆小棒”的数学游戏，以提高他的运算能力。下列选项与该案例所体现的教师职业道德要求相符合的是（）。,“知教育者，与其守成法，毋宁尚自然；与其求划一，毋宁展个性。”,“知其行矣，而后能遂其形也；知其物矣，然后能别其情也。”,“使言行之合，犹合符节也。”,“教人有秩而不可躐等。”,D
57,赵老师在班里开展系列创新实践活动，将同学们的作品在教室陈列，并作为学生评优的重要参考。下列对赵老师的做法评价不正确的是（）。,不以学生的个性发展为教育重点,注重学生的创新能力培养,不以分数为评价学生的唯一标准,注重对学生进行素质教育,A
58,某中学在配备班主任时作出了下列规定，其中不正确的是（）。,担任一个班级的班主任时间一般应为1学期以上,要求初次担任班主任工作的教师必须参加岗前培训,将班主任工作的考核结果作为其聘任和职务晋升的重要依据,在绩效工资分配中向班主任倾斜,D
59,下列关于常见医学检测技术的表达，不正确的是（）。,B超检查利用了超声波能产生回声的原理,CT检查利用了γ射线所具有的超强穿透性,核磁共振检查利用了原子核在一定条件下能产生共振的原理,X光检查利用了X射线穿过不同组织后衰减程度不同的特性,B
60,半导体是导电能力介于导体与绝缘体之间的物质。它是集成电路和光电器件的主要材料。下列选项中，属于半导体的是（）。,铜,硅,石墨,塑料,B
61,法家是战国时期的重要学派之一，主张以法治国，强调“不别亲疏，不殊贵贱，一断于法”。下列历史人物，不属于法家的是（）。,韩非,李斯,苏秦,李悝,C
62,下列选项中，历史文件与历史事件对应正确的是（）。,《土地法令》——俄国十月革命,《独立宣言》——法国大革命,《人权宣言》——英国资产阶级革命,《权利法案》——美国南北战争,A
63,“踏莽原，刈野草，热风奔流，一生呐喊；痛毁灭，叹而已，十月噩耗，万众彷徨。”这副挽联哀悼的现代作家是（）。,鲁迅,郭沫若,老舍,沈从文,A
64,哥特式是一种盛行于欧洲中世纪的建筑风格。下列对其特点的描述，不正确的是（）。,有交叉肋拱、高扶壁和飞拱,有窗花格以及彩绘玻璃隔屏,整体造型高耸、削瘦且带尖,外形厚重、敦实、色彩强烈,D
65,与“洛阳纸贵”这一成语故事相关的作品及作者是（）。,《西京赋》张衡,《甘泉赋》扬雄,《三都赋》左思,《长门赋》司马相如,C
66,随着科学技术的发展，人们逐渐能够在越来越小的长度上利用、控制或改造物质，下列长度单位中，最小的是（）。,纳米,毫米,微米,厘米,A
67,在PowerPoint中，要使幻灯片按规定时间连续自动播放，应选择的设置是（）。,排练计时,打包操作,切换效果选项,设置放映方式,A
68,下列选项中，与“蔬菜——圆白菜”的逻辑关系一致的是（）。,“大豆”和“农作物”,“菠菜”和“绿叶菜”,“香燕”和“美人蕉”,“水果”和“青苹果”,D
69,找规律填数字是一项很有趣的游戏，特别锻炼观察和思考能力。按照“5=72”“4=18”“3=6”“2=（）”“1=3”的规律，下列选项中，应填入“（）”中的是（）。,2,3,4,5,B
70,世界上第一部专门论述教育、教学问题的著作是（）,《论语》,《学记》,《理想国》,《雄辩术原理》,B
71,依据教育作用对象的不同，教育功能可划分为（）,个体功能与社会功能,正向功能与负向功能,显性功能与隐性功能,积极功能与消极功能,A
72,“我敢说我们日常所见的人中，他们之所以或好或坏，或有用或无用，十分之九都是他们的教育所决定的.”这一教育观点出自（）,《爱弥儿》,《教育漫话》,《大教学论》,《普通教育学》,B
73,班级组织建构的首要原则是（）,有利于教育原则,目标一致原则,有利于管理原则,可接受性原则,A
74,若一份调查问卷的所有问题都是封闭性问题，则该问卷属于（）,结构性问卷,非结构性问卷,开放性问卷,综合性问卷,A
75,在儿童身心发展过程中，身高、体重等方面有两个生长加速期。这表明儿童身体发展具有（）,顺序性,阶段性,不平衡性,个别差异性,C
76,为预防营养不足导致的小学生缺铁性贫血，日常饮食中需要适当（）,面包,水果,牛奶,鸡蛋,C
77,依据柯尔伯格的理论，以严守社会秩序为取向的儿童道德发展处于（）,惩罚服从取向阶段,相对功利取向阶段,寻求认可取向阶段,遵守法规取向阶段,D
78,"小龙最近总认为自己一事无成。为改变他的消极认识，徐老师对小龙说:""你还记得吗?你很多事情都做得很棒，还做过班干部呢!""这种心理辅导技术属于（）",积极暗示技术,行为矫正技术,认知改变技术,情绪调控技术,C
79,为记住学过的知识，小学生常常采用眼睛看、耳朵听、嘴巴念、动手写等多通道协同记忆.这种学习策略属于（）,计划策略,元认知策略,认知策略金标尺,资源管理策略,C
80,小学生在教师引导下，分析“澡”“燥”“躁”三个字的结构后，归纳出形声字的特点.这种学习属于（）,上位学习,下位学习,并列结合学习,派生类属学习,A
81,课间休息时，小明和同学在操场上玩“老鹰捉小鸡”的游戏。接下来上数学课，小明很快就进入了学习状态.这种心理现象属于（）,注意分配,注意转移,注意广度,注意起伏,B
82,某小学开发了具有当地特色的民族舞、民间戏剧等系列课程，从课程开发主体来看，这些课程属于（）,国家课程,地方课程,校本课程,活动课程,C
83,小学“体育与健康”课程首先应该关注的是（）,体育技能,体育知识,学生参与,学生健康,D
84,"依据《义务教育课程方案(2022年版)》,小学”综合实践活动”课程的起始年级为（）",一年级,二年级,三年级,四年级,A
85,“语文学习的外延等于生活的外延。”这句话表明语文学科具有（）,综合性,思想性,工具性,人文性,C
86,在评价对象群体之外，预定一个客观的或理想的标准，并运用这个标准去评价每个对象.这种评价方式属于（）,常模参照评价,相对评价,个体内差异评价,绝对评价,D
87,课外活动与课堂教学活动的共同特点是考教师学D类就到金标尺（）,标准化,同步化,个别性,计划性,D
88,"《论语》记载:再求做事好退缩,孔子就教他凡事要果断，想到了马上就去做;邮强好胜,孔子怕他冒失惹祸，就教他遇事要缓行。孔子的做法所体现的教学原则是（）",循序渐进,因材施教,教学相长,启发诱导,B
89,有利于学生在较短时间内获得系统的学科知识的教学方法是（）,讨论法,讲授法,演示法,练习法,B
90,入职培训时，汪校长要求每位新教师回答“什么是好的教育”“什么是好的教学”。这体现的教师职业特点是()。,多样性,主体性,价值性,生成性,C
91,陈老师在教室里布置了一个迷你“师生共读书吧”，她常常利用课余时间和学生共读一本书，有时自己也阅读一些专业书籍。关于陈老师的做法，下列说法不正确的是()。,陈老师注重提升自身素质,陈老师培养学生阅读习惯,陈老师充分发扬教学民主,陈老师具有专业发展意识,C
92,朱老师非常自省，她始终认为只要自己足够努力，就可以提高学生的学习成绩。这表明朱老师()。,具有较强的教学应变能力,具有较强的角色认同感,具有较强的教学监控能力,具有较强的教学效能感,D
93,多多在家里经常模仿老师的样子给家长讲故事，教家长跳舞，要求家长坐好，不要随意走动。下列选项与该案例所体现的教师劳动特点相符的是()。,学如不及，犹恐失之,行有余力，则以学文,信近于义，言可复也,桃李不言，下自成蹊,D
94,关于全国人民代表大会，下列说法正确的是()。,全国人民代表大会代表的发言不受法律追究,全国人民代表大会代表不受逮捕或刑事审判,全国人民代表大会代表受原选举单位的监督,全国人民代表大会代表可由常务委员会罢免,C
95,某网站在对用户发帖进行审核时，发现有用户发布了一条可能影响未成年人身心健康的信息。依据《中华人民共和国未成年人保护法》，该网站应当采取的措施是()。,作出提示或者通知用户予以提示,立即停止向该用户提供网络服务,删除相关记录并向当地公安机关报告,删除、屏蔽、断开链接等,A
96,12岁的赵某仗着自己身高体壮，经常欺负那些身体瘦弱的同学，对他们动辄殴打、辱骂、恐吓。对于赵某，公安机关可以采取的措施是()。,予以训导,要求其参加特点的专题教育,予以训诫,要求其参加校内服务活动,C
97,根据《中华人民共和国教育法》，国家举办学校及其他教育机构应当坚持的原则是()。,勤俭节约,优先发展,就近入学,公平高效,A
98,根据《中华人民共和国义务教育法》，义务教育阶段学校校长由()。,县级教育行政部门依法聘任,所在学校依法聘任,县级教育行政部门依法任命,全体教师选举产生,A
99,教师熊某体罚学生造成该生重伤，被人民法院处以有期徒刑，下列说法正确的是()。,熊某将永远不能再取得教师资格,熊某刑期内不能再取得教师资格,熊某三年内不能再取得教师资格,熊某五年内不能再取得教师资格,A
100,在某小学发生的学生伤害事故中，学生孙某违反校纪对造成事故负有责任。依据《学生伤害事故处理办法》，学校可以对孙某给予()。,罚款,处分,行政处罚,心理干预,B
101,某小学在“六一”儿童节前夕违规向家长收取赞助费。依据《中华人民共和国教育法》，责令其返还所收费用的是()。,乡镇人民政府,教育行政部门,县级人民政府,工商管理部门,B
102,常有学生说：“我们不否认，老师的严格要求是为我们好，但是有些老师宁给好心不给好脸，常常让我们内心十分反感。”这些教师缺乏的是()。,爱的差异性,爱的选择性,爱的广泛性,爱的理智性,D
103,飞飞经常迟到，康老师没少批评他。今天他又忘戴红领巾了。康老师生气地罚他站在教室后面，并对他说：“要是别的同学，我可能就原谅了。但对你，我早就忍无可忍了!”康老师的做法违背的教育惩戒原则是()。,对抗性,整合性,互换性,公正性,D
104,小学教师丁老师经常赴各地参加教学研讨，他勤于钻研并发表了不少论文，个人影响力越来越大。但他在教学上投入不足，班上学生成绩不理想。对此，丁老师认为：“不能仅以学生分数评价教师工作。”丁老师的言行()。,不合理，教师的首要任务是提高学生分数,不合理，丁老师未能正确理解教师的职责,合理，不能以分数作为评价的唯一标准,合理，有利于教师专业发展,B
105,临近考试，贾老师用班级微信群向家长推荐家乡农副产品。贾老师的错误在于()。,信息传递的时机不对,在家长群里发布广告,信息传递的方式不对,在家长群里发信息,B
106,火星探测是指人类通过向火星发射空间探测器，对火星进行的科学探测活动。2020年7月23日，中国首个火星探测器在文昌航天发射场发射升空并成功入轨。该火星探测器的名称是()。,天宫一号,神舟一号,天问一号,长征一号,C
107,14世纪，一场被称为“黑死病”的大瘟疫席卷整个欧洲，夺走了约2500万人的生命，死亡人数接近当时欧洲总人口的三分之一。导致这场瘟疫的传染病是()。,鼠疫,天花,艾滋病,狂犬病,A
108,南京是中国历史文化名城，有“六朝古都”之称。下列选项中，曾在南京建都，却又不属于前述“六朝”的是()。,三国吴,东晋,南朝陈,明朝,D
109,弗兰兹·卡夫卡是现代主义、表现主义文学的重要代表，创作了一些影响很大的小说，在当代西方文学中占有重要地位。下列选项中，不属于卡夫卡作品的是()。,《判决》,《审判》,《局外人》,《变形记》,C
110,《四时田园杂兴》由60首七言绝句组成，描绘了四季不同的田园景色，展现了当时江南农村的环境、风土、民俗和农家的生活情景。这首诗的作者是()。,陶渊明,王绩,王维,范成大,D
111,自由贸易区通常是指一国划在国境以内、关境以外的部分，在该区内进出口商品免征关税，并准许自由改装、加工、长期储存或销售等。2013年中国设立了首个自由贸易区，该贸易区是()。,中国(广东)自由贸易试验区,中国(上海)自由贸易试验区,中国(天津)自由贸易试验区,中国(福建)自由贸易试验区,B
112,联合国教科文组织总部所在地巴黎，拥有众多图书馆、博物馆、画廊等。下列文化艺术场所，不在巴黎的是()。,卢浮宫博物馆,奥赛美术馆,斯卡拉歌剧院,蓬皮杜文化艺术中心,C
113,在一次测试中，高分组全部通过甲试题，而低分组没有一人通过;高分组和低分组都有40%的人通过了乙试题，则甲试题和乙试题的区分度分别是()。,0和1,0和0.4,1和0.4,1和0,D
114,Word中，菜单栏中的“剪切”和“复制”呈浅灰色，功能处于禁用状态，造成此现象的原因是()。,剪贴板上已有信息存放,在文档中没有选中内容,选定的内容是本地图片,选定的文档太长，剪贴板放不下,B
115,Excel中，工作表被删除后，下列说法正确的是()。,表中数据也被删除，但可用“撤销”来恢复,数据仍然保存在内存里，只不过是不再显示,数据被全部删除，而且不可用“撤销”来恢复,数据进入了回收站，可以去回收站将数据恢复,C
116,下列选项中，与“科学家—画家”的逻辑关系相同的是()。,蜜蜂和昆虫,戏迷和美食家,面粉和大米,汽车和润滑油,B
117,按规律填数字是一个很有趣的活动，特别锻炼观察和思考能力。下列选项中，填入数列“6、9、20、34、()、98”空缺处的数字，正确的是()。,59,69,79,89,A
118,“建国君民，教学为先”这句话反映的是,教育与文化的关系,教育与经济的关系,教育与政治的关系,教育与科技的关系,C
119,“身正，不令而行，其身不正，虽令不从”，这表明教师的行为具有,主体性,创造性,间接性,示范性,D
120,班集体形成的条件和发展的动力是()。,共同的奋斗目标,班主任的要求,班委会的形成,共同的活动,A
121,下列著作中，由罗马教育家昆体良撰写的是,《教育论》,《理想国》,《教育漫话》,《雄辩术原理》,D
122,兵兵很想改掉上课爱说闲话的毛病，但上课时只要老师一不注意，他又忍不住说起闲话来。针对兵兵的情况，对他的教育应着重培养()。,道德认识,道德情感,道德意志,道德行为,C
123,对观察内容与步骤不作限定的教育观察属于,结构式观察,参与性观察,非结构式观察,非参与性观察,C
124,学龄儿童易感染麻疹病毒。该病毒传播的主要途径是,血液,消化道,呼吸道,蚊虫叮咬,C
125,依据柯尔伯格的理论，以“好孩子”为取向的儿童道德发展处于()。,惩罚服从取向阶段,相对功利取向阶段,寻求认可取向阶段,遵守法规取向阶段,C
126,贾老师告诉学生:“不高兴时，你可以跑跑步、打打球，或者散散步、听听音乐甚至可以大喊大叫。”贾老师所使用的心理辅导技术是,积极暗示,行为矫正,认知改变,情绪调控,D
127,考试时，学生依据实际情况适时调整答题速度或解题思路的策略属于()。,元认知策略,认知策略,精加工策略,资源管理策略,A
128,在掌握“动物”概念的基础上，学生又学习了“脊椎动物”和“无脊椎动物”这两个概念。这种学习属于,上位学习,下位学习,发现学习,并列结合学习,B
129,数学课已经开始了，萍萍还在想着课间谈论的周末春游的事。这种心理现象属于,注意分散,注意动摇,注意分配,注意转移,A
130,强调学科逻辑体系完整性和不同学科门类之间相对独立性的课程是()。,经验课程,综合课程,活动课程,分科课程,D
131,《学记》中体现“循序渐进”教学原则的语句是,禁于未发,学不躐等,相观而善,独学而无友,B
132,《义务教育课程方案(2022年版)》提出，应充分发挥实践的独特育人功能，突出学科思想方法和探究方式的学习，加强知行合一、学思结合，倡导()。,“做中学”“思中学“创中学”,“做中学”“用中学”“创中学”,“做中学”练中学”“创中学”,“做中学”“用中学”“读中学”,B
133,最有利于高效率、大面积传授知识的教学组织形式是,班级授课制,道尔顿制,特朗普制,文纳特卡制,A
134,芸芸期末考试数学成绩不太好，只得了55分，但杨老师仍表扬”了她，因为期中考试芸芸的数学了30分。杨老师所采用的评价方式属于(),过程性评价,终结性评价,相对性评价,个体内差异评价,D
135,课外活动区别于课堂教学的显著特征是(),自愿性,计划性,同步性,组织性,A
136,下列关于课程的理解中，没有体现“学习者是课程主体”的是(),课程即对话,课程即知识,课程即经验,课程即活动,B
137,“10以内的数字”一课教学结束时，为巩固所学内容，李老师让学生诵读儿歌:“1像铅笔细长条，2像小鸭水上漂，3像耳朵听声音，4像小旗迎风飘……”这种结课方式属于(),自然式,总结式,游戏式,悬念式,C
138,何老师经常要求班里的学困生在课间操时去他办公室补课。何老师的做法,恰当，有利于营造学习氛围,不恰当，不利于学生全面发展,恰当，有利于提高学习成绩,不恰当，不利于学生均衡发展,B
139,有教育家提出，学习应“以儿童自己的冲动为起点，以达到最高水平为目的”。这是因为学生的发展具有(),顺序性,不平衡性,能动性,互补性,C
140,在某校延续多年的教研沙龙活动中，老师们积极参与，讨论教学中的热点、难点问题，在相互启发中不断寻找新的教研生长点。下列对该案例中教师角色描述不恰当的是(),研究者,合作者,管理者,学习者,C
141,老师说:“不能用同样的水准要求学生，也不能揠苗助长，我一直都坚定不移地相信学困生是迟开的花朵'，早晚都会开放。”下列选项中与老师的说法不一致的是(),注重学生发展的整体性,关注到学生具有差异性,注重学生发展的顺序性,关注到学生具有发展性,A
142,国务院常务会议的组成人员不包括(),总理、副总理,各部部长,国务院秘书长,国务委员,B
143,卫生部门违规向学校收取费用。依据《中华人民共和国教育法》，令其退返所收费用的机构是()。,当地工商部门,当地教育部门,当地公安部门,当地人民政府,D
144,家长王某对教师李某批评其儿子心怀不满，认为李某对其儿子有偏见。一天，王某在路上截住下班回家的李某，对其进行殴打，造成李某肋骨多处骨折。对此伤害事件，下列说法不正确的是(),可以依法追究王某的刑事责任,可以依法追究王某的民事责任,依法给予王某行政处罚,李某所在学校应给予王某行政处罚,D
145,初中生张某闯进某小学，将课间正在操场玩耍的小学生刘某打伤。对刘某所受的人身伤害应承担赔偿责任的是(),某所在学校,张某的监护人,刘某所在学校和张某所在学校,刘某所在学校和张某的监护人,D
146,教师钱某认为学校侵犯了其工资报酬权，向当地教育行政部门]提出申诉。教育行政部门接到申诉作出处理的时限是(),15日内,30日内,45日内,60日内,B
147,某小学试行“绿色惩戒”，如学生在课堂打闹，要求教师采取的措施不是责罚，而是让学生背诵五则励志名言，或是收集一篇有关自律的文章并写出心得体会。该校的举措,体现了对学生的关心、爱护和尊重,弱化了对学生违纪行为的自主管理,不利于开展教学改革和实验,不利于培养学生的责任意识和纪律观念,A
148,小学生胡某因有严重不良行为，被转至专门学校接受教育，下列关于胡某学籍的说法正确的是,学校可依法取消胡某的学籍,胡某的学籍仍保留在原学校,胡某自主选择学籍的去向,胡某的学籍应转至专门学校,B
149,依据《中华人民共和国未成年人保护法》，下列选项中属于司法保护的是(),人民法院开庭时，未成年被害人一般不出庭作证,公安机关依法维护校园周边治安交通秩序,任何组织或个人不得招用未满16周岁的未成年人,监护人依法履行对未成年人的监护职责和抚养义务,A
150,"李老师在班里开展“大家-起找优点""活动，要求学生设立“优点记录本""，既记录自己的优点，也记录同学的优点，并在每周“优点交流会""上交流。李老师的做法()。",不恰当，将导致学生的盲目自信,不恰当，将导致学生报喜不报忧,恰当，能激励学生不断进步,恰当，能减少班主任工作量,C
151,星期一的升旗仪式上，一(2)班有3位同学迟到，一个是因赖床起晚了，-个因路上摔了一跤回家换衣服了，还有一个是因堵车耽搁了。班主任认为这些都属于可以避免的情况，便采取了同样的惩戒措施。这表明该班主任缺乏()。,教育公正的自觉性,教育公正的灵活性,教育公正的整合性,教育公正的形式性,B
152,有家长反映陈老师最近上课总是敷衍了事。经调查了解，陈老师开了一家网店，以致精力不济，备课不充分。对此，陈老师正确的做法是(),联系家长，搞好家校关系,继续经营，加大工作投入,化解冲突，委托同事代课,关闭网店，认真备课施教,D
