index,content,A,B,C,D,ans,科目
15,下列哪首歌曲是作曲家施光南为女中音创作的？（）,《我和我的祖国》,《在希望的田野上》,《我爱你，中国》,《吐鲁番的葡萄熟了》,D,音乐
16,作曲家鲍元恺致力于将交响音乐进行民族化、通俗化的探索。他以24首中国民歌为素材创作的交响组曲是（）。,《西藏音诗》,《炎黄风情》,《纳西一奇》,《巴楚印象》,B,音乐
17,我国传统民间合奏有不同的划分方式，如依据乐器类型和演奏方式可分为弦索乐、丝竹乐、鼓吹乐、吹打乐、锣鼓乐等。下列选项中，与“福建南音”同属于丝竹乐乐种的是（）。,江南丝竹,冀中笙管乐,西安鼓乐,十番锣鼓,A,音乐
18,在戏曲节奏中，下列哪种板式不属于板腔体板式？,慢板,原板,散板,流水板,C,音乐
19,音乐课上，同学们欣赏了钢琴协奏曲《黄河》之后，老师想介绍一首同样展现民族特点和爱国情怀的外国乐曲，下列哪首作品最合适？,《大海》,《沃尔塔瓦河》,《水上音乐》,《伏尔加船夫曲》,B,音乐
20,格什温《蓝色狂想曲》的演奏形式是,钢琴独奏,钢琴与乐队,铜管五重奏,萨克斯与乐队,B,音乐
21,关于三味线的描述，下列选项中正确的是,它是日本具有代表性的弹拨乐器,它是泰国具有代表性的弹拨乐器,它是日本具有代表性的弓弦乐器,它是泰国具有代表性的弓弦乐器,A,音乐
22,关于“奏鸣曲式”，下列表述正确的是（）。,第一部分必须是乐段,第三部分必须再现第一部分材料,中间部分必须展开第一部分材料,中间部分必须是对比性新材料,B,音乐
23,一段旋律有多段歌词的歌曲是（）。,主歌,副歌,分节歌,通谱歌,C,音乐
24,上世纪初，我国公立学校正式设立了学堂乐歌，最初这种课程的名称是（）。,乐歌课,游戏课,艺术课,唱游课,A,音乐
25,李老师教授琴歌《阳关三叠》时，布置学生预习王维、高适等唐代诗人的古诗词，然后跟着老师的琴声，学生在音高、节奏、韵味和情感表现方面都有所提升。上述教学环节体现了哪种效应？（）,迁移效应,木桶效应,归因效应,门槛效应,A,音乐
26,音乐课上，小刚一直发出噪音，王老师便不允许他参加后续的音乐活动，并承诺如果小刚停止发出噪音，就可以加入游戏。从行为主义学习理论的角度分析，王老师的问题处理方式是（）。,连续渐进,正强化,负强化,塑造,C,音乐
27,下面是张老师对小明同学的评价，它属于哪种学习评价？（）小明同学在本节课能积极地参与音乐分析，较好地掌握相关知识技能，勇于表达自己对音乐的感受，能与同学合作完成音乐表演。,自评,互评,定量测评,定性述评,D,音乐
28,下列哪项不属于音乐技能？（）,乐谱识读,歌曲演唱,音乐评价,乐器演奏,C,音乐
29,在《曲苑寻珍》单元教学中，杨老师分别播放了京韵大鼓、苏州弹词两个曲种片段的演唱录音，并要求学生字正腔圆地模仿演唱。这一过程的教学重点是（）。,两个曲种的代表人物生平,两个曲种的语言发音特点,两个曲种各自的发展历程,两个片段的曲式结构分析,B,音乐
30,音乐课上老师安排两个同学上台演唱同一歌曲，要求男生唱一个声部，同时女生唱另一个声部。这一种演唱形式是（）。,齐唱,合唱,对唱,重唱,D,音乐
31,下列属于音乐学科课程内容“创造”领域的是（）。,音乐情绪情感,综合性艺术表演,探索音响与音乐,音乐与社会生活,C,音乐
32,下列选项中，属于补色关系的一组色彩是,橙与红,蓝与绿,黄与紫,黑与白,C,美术
33,中国传统花鸟画的审美追求是,借物抒情,传神写照,情景交融,道法自然,A,美术
34,《韩熙载夜宴图》描绘了韩熙载设宴待客、宾主尽欢的情景，整卷展现了五个场景，下列选项中顺序正确的是,观舞、听琵琶演奏、宴间歇息、清吹、宴散送宾,清吹、观舞、宴间歇息、听琵琶演奏、宴散送宾,听琵琶演奏、清吹、宴间歇息、观舞、宴散送宾,听琵琶演奏、观舞、宴间歇息、清吹、宴散送宾,D,美术
35,下列徐悲鸿作品中，创作于抗日战争时期，借以表达万众一心、抗战到底创作意图的是,《愚公移山》,《风雨鸡鸣》,《奔马》,《九方皋》,A,美术
36,伦勃朗的油画作品所采用的主要造型语言是,线条,色彩,光影,肌理,C,美术
37,杨柳青年画所属的版画形式是（）。,金属蚀刻版画,实物印制版画,纸版漏印版画,木版套色版画,D,美术
38,依据义务教育艺术课程标准，下列选项中学段划分正确的是（）。,第一学段1～2年级，第二学段3～5年级，第三学段6～7年级，第四学段8～9年级,第一学段1～2年级，第二学段3～4年级，第三学段5～6年级，第四学段7～9年级,第一学段1～3年级，第二学段4～6年级，第三学段7～9年级,第一学段1～2年级，第二学段3～5年级，第三学段6～9年级,A,美术
39,下列选项中，与义务教育艺术课程标准对基本理念表述不相符的是（）。,坚持以美育人,重视艺术体验,面向全体学生,突出课程综合,C,美术
40,依据《义务教育艺术课程标准（2022年版）》，下列选项中对核心素养描述准确的是（）。,核心素养能在艺术课程学习中得到有效提升，逐步形成责任担当、学会学习、人文底蕴和科学精神,核心素养主要包括审美感知、艺术表现、创意思维和文化理解，能够帮助学生形成正确的价值观、必备品格和关键能力,核心素养是相辅相成的，贯穿艺术学习的全过程，其中艺术表现最能体现学生创意思维和创新能力,核心素养是课程育人价值的集中体现，是学生通过课程学习逐步形成的适应个人终身发展和社会发展需要的正确价值观、必备品格和关键能力,D,美术
41,关于美术课程“综合·探索”艺术实践课程描述正确的是（）。,学生将所掌握的美术知识、技能和思维方式，与自然、社会、科技、人文相结合，进行综合探索与学习迁移，提升核心素养,学生将所学的美术知识与技能，运用于跨学科学习，提升核心素养,学生将所学的美术知识与技能，运用于解决生活中的实际问题，培养审美素养，形成正确的人生观、价值观，提升核心素养,学生将所掌握的美术知识、技能和思维方式，围绕主题进行平面、立体或动态等作品创作，表达思想和情感，提升核心素养,A,美术
42,依据《义务教育艺术课程标准（2022年版）》，对“课程资源开发与利用”部分描述不准确的是（）。,艺术课程资源是艺术课程内容的重要来源和艺术活动的重要载体，也是艺术课程教学实施的基本保障,艺术课程资源应该是国家提供的，如专业教室、画具材料等，不需要教师去开发,艺术课程资源的开发与利用要坚持正确的导向，广泛而有针对性地利用地方和社会文化资源,学校要提供条件，帮助教师充分利用计算机、多媒体设备等开发信息化艺术课程资源,B,美术
43,下列选项中，《线材造型》一课指向“审美感知”素养的是（）。,能运用线材造型的方法，创造人物、动物等造型,基于不同线材的特性，学习线材造型的基本方法,通过欣赏线材造型的美术作品，感受线材造型的艺术美感,领悟中外线材艺术作品的文化内涵，理解艺术对文化发展的贡献,C,美术
44,张老师在上《罗丹的雕塑》一课时，让学生模仿《加莱义民》作品中的人物表情和动态。该教学方法是（）。,示范教学法,角色扮演法,案例教学法,头脑风暴法,B,美术
45,下列选项中，适合作为《动漫形象设计》一课教学难点的是（）。,激发想象力，设计性格鲜明的动漫形象,掌握基本的动漫形象设计方法和步骤,通过小组合作完成人物形象的动漫设计,搜集图片，欣赏动漫作品并了解动漫特征,A,美术
46,新课程背景下，王老师上《汉字的装饰艺术》研究课时，在学生实践环节，下发准备好的装饰字体图例，让学生通过临摹完成作业。对此教学活动描述恰当的是（）。,培养了学生的创意实践能力,学生没有掌握多种汉字创意手法,学生没有形成文化理解能力,没有让学生自主探究与创意表达,D,美术
47,郑老师上《画画你我他》一课，先把各任课教师的照片展示在大屏幕上，引导学生观察每位教师的形象特征后，布置了“给自己喜欢的老师画一幅漫画肖像”的学习任务。下列选项中，对此描述不恰当的是（）。,有利于增强师生情感,有利于评价任课教师,有利于激发学生热情,有利于学生了解教师,B,美术
48,孟老师上《公共设施设计》一课时，组织学生设计校园公共设施，课后让教师、学生、家长评价学生作品。这种评价方式属于（）。,档案袋评价,量化评价,多主体评价,质性评价,C,美术
49,李老师给班级同学做期末评价。依据《义务教育艺术课程标准（2022年版）》，下列选项正确的是（）。,以学生平时成绩的平均分作为期末评价结果,以学生期末纸笔测试成绩作为期末评价结果,以课堂评价、作业评价和期末考核作为期末评价依据,以学生本学期课堂出勤及学习态度作为期末评价依据,C,美术
50,如果要使同一株苹果树结出不同品种的苹果，最适合使用的方法是（）。,扦插,压条,嫁接,组织培养,C,生物
51,向两组草履虫培养液中分别滴加稀释后的中性红染色剂（甲组）和稀释后的红墨水（乙组），几分钟后用显微镜观察，甲组草履虫细胞内变红，乙组草履虫细胞内仅刚吞食的食物泡变红。出现这种差异的原因可能是（）。,草履虫的伸缩泡可排出红墨水，不能排出中性红染色剂,中性红染色剂能与食物混合被草履虫摄取，而红墨水不能,红墨水能与草履虫细胞质的某些物质结合，而中性红染色剂不能,中性红染色剂能够透过草履虫的细胞膜进入细胞内，而红墨水不能,D,生物
52,某湖区阴湿的稗草丛间栖息着大量的黑斑蛙，它是虎斑游蛇和白条锦蛇的主要食物，黑斑蛙背部深绿色，具不规则的黑斑，腹部白色无斑，以蝗虫等为食。下列叙述正确的是（）。,黑斑蛙背部的颜色是一种警戒色,虎斑游蛇和白条锦蛇存在竞争关系,该湖区生态系统的全部能量来自稗草固定的太阳能,该湖区中的一条食物链：蝗虫→黑斑蛙→白条锦蛇,B,生物
53,光反应发生在叶绿体的类囊体薄膜上，当天然色素分子吸收光能时光反应过程随即发生，下列分析正确的是（）。,氢离子沿着电子传递链流动形成ADP,光反应过程依赖暗反应提供的NADPH,强氧化态的叶绿素a分子促使水光解释放氧气,天然色素分子为胡萝卜素、叶绿素a和叶绿素b,C,生物
54,“岛屿效应”是指在小岛上落地生根后的小型动物会向更大的体型演化。赛舌尔群岛上的亚达伯拉象龟的祖先在岛屿上无忧无虑地啃食植物、繁衍生息，直至变成了今天所见的庞然大物，其壳长达120cm，分子生物学家研究发现，与亚达伯拉象龟亲缘关系最接近的蛛网龟是一种生活在马达加斯加的小型陆龟，壳长不足15cm。下列推论中最合理的是（）。,亚达伯拉象龟的祖先的壳长为15cm,亚达伯拉象龟的祖先是从陆地迁徒到海岛的,蛛网龟作为陆龟面临较少的种间竞争压力,蛛网龟和亚达伯拉象龟采用同样的策略适应环境,B,生物
55,体育课上安排了“引体向上”这个训练项目，在完成整体动作时，学生的肱二头肌和肱三头肌的状态分别是（）。,肱二头肌收缩，肱三头肌舒张,肱二头肌和肱三头肌同时舒张,肱二头肌舒张，肱三头肌收缩,肱二头肌和肱三头肌同时收缩,D,生物
56,我国科学家发明了一款植物可穿戴茎流传感器，成功地监测到草本植物体内水分的动态运输和分配过程，该传感器监测的结构主要是（）。,导管,筛管,表皮,形成层,A,生物
57,下列实验中，使用的试剂与实验目的不相符的是（）。,探究馒头在口腔中的变化时，使用稀碘液检验淀粉的存在,探究绿叶在光下制造有机物时，利用酒精溶解叶片中的叶绿素,探究二氧化碳是光合作用必需原料时，利用氢氧化钠溶液吸收二氧化碳,制作人的口腔上皮细胞临时装片时，载玻片中滴加清水以保持细胞形态,D,生物
58,金秋十月，又到了落叶纷飞的季节，仔细观察掉落在地面上的落叶，会发现背面朝上的叶片远多于正面朝上的。根据叶片结构，分析出现这种现象的原因最有可能是（）。,叶片下表皮的气孔分布较多，密度小,叶片下表皮的气孔分布较少，密度大,靠近叶片上表面的海绵组织排列疏松，密度小,靠近叶片上表面的栅栏组织排列紧密，密度大,D,生物
59,长喙天蛾可以取食长距花或短距花的花蜜，这对于短距花是不利的。其花蜜被取食，但并没有被传播花粉。于是一些短距花植物演化出繁衍策略，它们的花蜜对长喙天蛾具有毒性以减少长喙天蛾的取食频率，把机会更多地留给短喙天蛾以帮助其传粉。长距花植物则采用了不同的策略，花距越长其产蜜量越高，吸引长喙天蛾专门来造访。下列叙述正确的是（）。,短喙天蛾与短距花之间存在捕食关系,喙长的天蛾比喙短的天蛾适应能力更强,花蜜有毒的短距花的出现是定向变异的结果,长距花的产蜜量变高是长喙天蛾引起的变异,A,生物
60,大暴雨会造成玉米等作物部分倒伏、受淹，农民需尽快采取措施以减少损失。下列措施正确的是（）。,大量施用无机盐以提高产量,尽快排水以增加植株吸收水分,恢复直立有利于获得充足的阳光,剥离叶片有利于减少水分蒸腾,C,生物
61,研究人员发现，在服用升压药后，普通小鼠很快出现了高血压症状，且肾脏和心脏都出现了损伤，但带有长颈鹿（长颈鹿血压是人类的2.5倍）FgfrⅡ基因的小鼠服用相同的升压药后，血压只有小幅上升，总体依然保持动态平衡。下列叙述不正确的是（）。,普通小鼠在实验中起到了对照作用,高血压会影响小鼠体内代谢废物的排出,将FgfrⅡ基因移入小鼠体内运用了克隆技术,研究FgfrⅡ基因有助于寻找高血压的新疗法,C,生物
62,全世界蝙蝠约有900多种，蝙蝠前肢特化、后肢短小，夜间飞行，大多数具有超强的飞行能力和敏锐的回声定位系统。蝙蝠每年繁殖一次，每胎1~2崽。下列叙述正确的是（）。,胎生提高了蝙蝠后代的成活率,蝙蝠依靠覆满羽毛的翼飞行以捕获昆虫,回声定位系统使得蝙蝠的视觉功能强大,蝙蝠的前肢足以体现哺乳动物由鸟类进化而来,A,生物
63,宋朝时，人们将天花痂皮烘干、磨粉，将粉末吹到儿童鼻孔中以预防天花。这是历史记载最早的疫苗接种方法。天花痂皮粉内的有效成分是（）。,灭活的病毒,痂皮的细胞,改造过的病毒,痂皮的免疫因子,A,生物
64,随着科技的发展，生物学领域出现了越来越多的社会型科学议题，如转基因技术的应用，围绕这类议题开展教学时，下列做法不合理的是（）。,给学生提供机会阐明自己的观点,组织学生收集数据支持自己的观点,引导学生在社会情境中思考问题,让学生开展讨论并确认正方观点成立,D,生物
65,具有“能够说明三维结构，便于拆解和分解”的特点的生物学教具是（）。,番茄植株,鸽子标本,眼球结构模型,关节结构粘图,C,生物
66,某教师开展“如何在生物学课堂中实践论证教学”的研究，他以某位学生为研究对象，结合不同内容实施了三轮教学方案，并评估论证教学的效果，该研究方法所属的研究类型为（）。,调查研究,比较研究,行动研究,文献研究,C,生物
67,义务教育生物学课程标准倡导“教学过程重实践”，下列做法中不合理的是（）。,鼓励学生多观察、多思考、多提问,为研究实践活动创设必要的情境,以小组合作的形式引导学生开展活动,以视频和图片代替实践操作，提高课堂效率,D,生物
68,某教师研究了“5E”教学模式对学生生物学学习兴趣的影响，下列探查学生学习兴趣变化的方法较为规范的是（）。①使用学术界公认的学习兴趣量表进行评价②使用内部一致性信度系数为0.45的自编量表进行评价③收集学生在课堂中参与讨论和回答问题的信息进行评价④使用学生的期末考试成绩进行评价,①③,②④,①②,③④,A,生物
69,公益短片《光影答案》通过微电影演绎，将抽象形象具体化，让“中国梦”有温度、接地气，受到一致好评。这对道德与法治的启示是（）。①以立德树人为根本任务②用喜闻乐见的方式传播教学内容③将微电影作为核心学习方式④将美育作为核心,①②,①③,②④,③④,A,政治
70,王老师在讲述师生交往一课时，邀请了小哲当老师的妈妈走进课程来谈谈师生之爱与学生之爱的异同，王老师注重开发利用（）。,人力资源,文本资源,自然资源,实践资源,A,政治
71,恩格斯指出：“先前的一切社会发展阶段上的生产在本质上是共同的生产……生产的这种共同性是在极狭小的范围内实现的。”对此，解读正确的有（）。①上述论断反映出原始社会生产中平等互助的关系②“共同的生产”这一生产力状况适应了生产关系③上述论断说明家庭是原始人共同生活的基本单位④“共产制共同体”是由当时低下的生产力决定的,①②,①④,②③,③④,B,政治
72,“代替那存在着阶级和阶级对立的资产阶级旧社会的，将是这样一个联合体，在那里，每个人的自由发展是一切人的自由发展的条件。”这个“联合体”指的是（）。,共产主义社会,社会主义社会,柏拉图的“理想国”,空想社会主义者的“乌托邦”,A,政治
73,马克思主义哲学虽然产生于19世纪，但它依然具有强大的现实生命力，依然闪耀着光辉灿烂的真理光芒。这表明（）①与时俱进是马克思主义哲学的理论品质②马克思主义哲学的具体内容是永恒不变的③马克思主义哲学吸收一切文化成果④马克思主义哲学随着实践而发展,①②,①④,②③,②④,B,政治
74,2020年世界500强榜单中，中国企业上榜数量达到133家，其中多数为国企。这些国企主要分布在投资大，周期长的基础设施，以及国防科技和民生改善的领域，这表明我国国有经济（）。,在国民经济中属于主体地位,必须在各个领域占支配地位,在国民经济中发挥主导作用,在社会总资产中占明显优势,C,政治
75,调研显示，有些市县的居民委员会承担了大量的行政工作。这（）。,是地方政府依法简政放权的举措,与居民自治委员会的性质不符,使居民委员会的本体责任得到了更好地落实,使居民委员会的体制功能得到充分发挥,B,政治
76,"“少年安得长少年，海波尚变为桑田”这一诗句反映了（）。
①运动是静止的特殊状态
②运动是物质的唯一特性
③运动是永恒的、绝对的、无条件的
④运动是物质的固有属性和存在方式",①②,①③,②③,③④,D,政治
77,某互联网平台将收集到的用户姓名、年龄、工作单位、住址等信息发布在公开论坛上。该互联网平台侵犯的用户权利是（）。,隐私权,生命权,健康权,名誉权,A,政治
78,王某在小区购买了一个车库，用于杂物堆放，但长期堆放下产生了异味。小区物业建议他清理打扫，但王某认为自己对车库具有所有权，想怎么用就怎么用。他的行为（）。,违反诚信原则,违反绝对所有权原则,违反自愿原则,违反权利滥用原则,D,政治
79,《左传》载：“昔周公吊二叔之不成，故封建亲戚，以藩屏周。”文中的“封建”是指（）。,禅让制,王位世袭制,分封制,井田制,C,历史
80,春秋战国时期某学派认为：“乐者，天地之和也；礼者，天地之序也。和，故百物皆化；序，故群物皆别。”该学派是（）。,道家,儒家,墨家,法家,B,历史
81,商鞅在秦国施行变法，认为“末事不禁，则技巧之人利，而游食者从……能事本而禁末者，富…戮力本业耕织，致粟帛多者复其身；事末利及怠而贫者举以为收孥”。这里的“末”是指（）。,工商业,铸币业,畜牧业,渔业,A,历史
82,《资治通鉴》记载：魏主下诏，以为“北人谓土为拓，后为跋。魏之先出于黄帝，以土德王，故为拓跋氏。夫土者，黄中之色，万物之元也，宜改姓元氏……。”材料中“魏主”是指（）。,任用李悝变法的魏文侯,顺应民族交融的北魏孝文帝,敢于进谏唐太宗的魏征,发兵灭蜀的曹魏权臣司马昭,B,历史
83,中国古代赋役制度在唐朝中后期发生了重要变化。下列史料反映这一变化的是（）。,“上于是约法省禁，轻田租，什五而税一”,“凡丁，岁役二旬。若不役，则收其庸，每日三尺”,“量出以制入”，“居人之税，秋、夏两征之”,“滋生人丁，永不加赋”,C,历史
84,余靖在《武溪集·契丹官仪》中记载，“领番中职事者……谓之契丹官，枢密、宰臣则曰北枢密、北宰相”“领燕中职事者……谓之汉官，执政者则曰南宰相、南枢密”。史料反映的古代政治制度是（）。,秦朝的三公九卿制,魏晋的九品中正制,唐朝的三省六部制,辽朝的南北面官制,D,历史
85,中国古代，农民重视用粪肥田。汉唐时期，北方的肥料技术处于领先地位；唐宋之后，南方的肥料技术有后来居上之势；明清时期，南方的肥料技术开始辐射到北方地区。这一变化客观上反映了（）。,经济重心南移,南北方经济差距比较大,北方长期战乱,南方自然条件优于北方,A,历史
86,“自乌苏里河口而南，上至兴凯湖，两国以乌苏里及松阿察二河作为交界。其二河东之地，属俄罗斯国；二河西属中国。”这一条款出自（）。,《尼布楚条约》,《瑷珲条约》,《伊犁条约》,《北京条约》,D,历史
87,在中日甲午战争的平壤战役中，一清军将领“见危授命，血战捐躯，生气凛然，临大节而不可夺”。这位英勇牺牲的将领是（）。,叶志超,左宝贵,邓世昌,林永升,B,历史
88,1919年12月，蔡元培表示北京大学开始招收女学生，第二年春，录取了邓春兰、王兰在内的九名女生入学。其他学校也纷纷效仿。两年后，已经有七所院校开始招收女生。这说明（）。,新文化运动推动观念革新,北洋政府重视女性教育,国民革命运动的蓬勃兴起,男女平等观念深入人心,A,历史
89,1935年12月9日，北平数千学生向国民党当局请愿，他们高呼“打倒日本帝国主义”“反对华北五省自治”等口号。这一事件的背景是（）。,抗日战争全面爆发,国共合作再次开始,日本侵略步步加深,抗战进入相持阶段,C,历史
90,2020年中国研发经费支持24426亿元，比2015年增长10256亿元，稳居世界第二，科技进步对GDP的贡献率达到60.2%，若干领域在国际上从“跟跑”“并跑”跃升到“领跑”。这表明中国（）。,开始实施“科教兴国”战略,正在大力推进创新型国家建设,已跻身世界发达国家的行列,基础设施的建设走在世界前列,B,历史
91,约公元前18世纪，一部法典用楔形文字镌刻在黑色玄武岩上，其前言和正文主要是宣扬君权神授，歌颂国王的功绩。这部法典产生于（）。,古埃及,古巴比伦,古印度,古罗马,B,历史
92,“城市的空气使人自由”，这是中世纪时形容城市的一句谚语，对此理解正确的是（）。①城市市民拥有人身自由②封建领主不能随意征税③城市相对自治和独立④城市完全不受领主控制,①②③,①②④,①③④,②③④,A,历史
93,1687年出版的《自然哲学的数学原理》给力学的基本要素如质量、动量、惯性、力及向心力下了定义，对一切物体的运动，全部应用运动三定律和万有引力定律给予了说明。该书的作者是（）。,哥白尼,牛顿,达尔文,爱因斯坦,B,历史
94,《德意志帝国宪法》规定：联邦议会与帝国议会的召集、开会、延会、闭会均听命于皇帝。这反映出德意志帝国的特点是（）。,严格限制王权,确立共和体制,体现分权制衡原则,具有专制色彩,D,历史
95,1901年，美国钢铁公司成立，它首先通过抬高产品价格、提升行业门槛来挤压中小公司，然后趁其财务吃紧时予以兼并或收购，最终控制全国钢产量的65%。其做法反映了（）。,国家垄断的加强,炼钢技术的进步,垄断组织的发展,市场经济的终结,C,历史
96,二战以前，世界上的独立国家数量远少于当今。然而在1945—1991年，全世界有90多个国家获得独立。这一现象表明（）。,世界殖民体系崩溃,霸权主义退出了历史舞台,美苏两极格局瓦解,发展中国家经济成就斐然,A,历史
97,如果想了解春秋战国时期的史实，可以查阅（）。,《周书》,《史记》,《资政新篇》,《新五代史》,B,历史
98,"《义务教育历史课程标准（2022版）》提出：“运用大概念对教学内容进行整合”，其目的是（）。
①构建合理的知识结构 
②避免知识的碎片化
③促进学生对知识的记忆
④拓展学生的视野",①②③,①②④,①③④,②③④,B,历史
99,下列哪一选项可用于评价一节体育课教学目标是否达成？（）,教学组织,教学内容,教学方法,教学效果,D,体育
