index,content,A,B,C,D,ans
18,早期电报普遍使用由点横两种符号组成的电码，创造这一电码的科学家是,贝尔,莫尔斯,特斯拉,爱迪生,B
19,地中海是处于欧洲、亚洲、非洲大陆之间的一片海域。公元前27年至公元476年曾有一个庞大帝国横跨欧、亚、非三洲，地中海成为“内海”，这一帝国是,波斯帝国,罗马帝国,阿拉伯帝国,拿破帝国,B
20,1984年12月，中英两国政府正式签署联合声明，确认中国政府将于1997年7月1日对香港恢复行使主权。下列人物中，代表英国签署联合声明的是,丘吉尔,麦理浩,特蕾莎·梅,撒切尔夫人,D
21,《逍遥游》是《庄子》的首篇，想象丰富，文字奇丽，在思想和艺术上都可作为全书的代表。文中提到了一条硕大无比的鱼和一只垂翼蔽日的鸟，它们是,鲲风,鲸风,鲲鹏,鲸鹏,C
22,嘉立在北京天安门广场的人民英雄纪念碑，是中国人民政治协商会议第一届全体会议通过决议，为纪念1840-1949年间牺牲的人民英雄建立的，是中华人民共和国成立后第一座大型纪念性建筑物。其建筑设计主持者是:,张镈,齐康,梁思成,杨延宝,C
23,把浪漫主义的时代风格和爱国主义的的精神内容紧密地融合在音乐作品中，创作了,海顿,肖邦,莫扎特,李斯特,B
24,下列关于因特网中IP地址和主机名之间关系的表述，正确的是,一个合法的外部IP地址在一个时刻只能分配给一台主机,一个合法的外部IP地址在一个时刻只能分配给多台主机,多个合法的外部IP地址在一个时刻只能分配给一台主机,多个合法的外部IP地址在一个时刻不能分配给多台主机,A
25,在PowerPoint中，能够退出幻灯片播放状态的快捷键或者快捷键组合是,Esc,End,Ctrl+V,Ctrl+C,A
26,下列选项中，与“飞机-航空器”的逻辑关系一致的是,“游轮”与“船舶”,“汽车”与“公路”,“火车”与“轨道”,“地铁”与“交通”,A
27,幼儿注意稳定性差表现在（）,注意的选择性差,有意注意时间短,注意范围小,注意分配的能力差,B
28,下列不属于新生儿本能的是,宽食行为,抓握反射,踏步反射,膝跳反射,D
29,幼儿阅读活动的主要目的是,培养阅读兴趣与习惯,获得读写能力,提高文字理解能力,扩大识字量,A
30,一个人表现出来的区别于他人的稳定的、独特的、整体的心理和行为模式是,气质,性格,个性,社会性,A
31,哪种维生素的缺乏容易导致婴幼儿患佝偻症,维生素D,维生素C,维生素B,维生素A,A
32,幼儿园健康教育的主要目的是,促进幼儿身心健康,提高动作技能,增强幼儿体质,丰富健康知识,A
33,幼儿在受到过度表扬，或被要求在陌生人面前表演自己时，会明显感到不好意思，这反映了幼儿,自我意识的发展,自我控制的发展,积极情绪体验的发展,合作行为的发展,A
34,现场评价幼儿园教育活动最重要的依据是,教具的丰富性,教育方法的多样化,幼儿的表现,教育过程的有序性,C
35,《3-6岁儿童学习与发展指南》中五大领域目标及其各年龄段的典型表现的主要作用是帮助老师,评价目标的达成度,掌握训练标准,了解发展规律，建立合理期望,分领域落实教育目标,C
36,福禄贝尔强调,体育锻炼的重要性,游戏的重要性,作业的重要性,感觉教育的重要性,B
37,黄老师组织幼儿开展主题活动“秋天的落叶”。下列行为未体现黄老师是幼儿学习活动支持者角色的是()。,创设“五彩秋天”主题墙,提供放大镜给幼儿观察落叶,组织幼儿讨论落叶的特征,准备树叶给幼儿做粘贴墙,A
38,幼儿园组织春游，李老师让幼儿自己商量去哪里玩。再统计每个地方有多少人想去，最后根据统计结果做出决定。该做法体现的幼儿发展特点是()。,独特性,整体性,参与性,主体性,D
39,在学习话动中，教师随时用目光注视、空间接近、身体接触等方式，让幼儿感受到教师对他们的关注，并不失时机地向幼儿提供积极正面的反馈。教师的行为满足了幼儿（）。,对探究的需要,对秩序的需要,对接纳的需要,对参与的需要,C
40,在户外活动时，大(1)班的小朋友想玩大型多功能组合玩具时，李老师恰当的做法是（）。,建议玩沙，避免发生危险,要求只玩一个项目,允许分组玩耍，定时交换,允许幼儿自主选择,D
41,依据《中华人民共和国宪法》。国家加强社会主义精神文明建设的举措不包括（）。,普及理想教育,普及法治教育,普及文化教育,普及道德教育,B
42,"依据联合国《儿意权利公约》,涉及儿童的一切行为，有关机构执行均应（）。",以国家的最大利益为一种首要考虑,以社会的最大利益为一种首要考虑,以家庭的最大利益为一种首要考虑,以儿童的最大利益为一种首要考虑,D
43,依据《幼儿园工作规程》，下列不属于家长委员会主要任务的是（）。,支持幼儿园保育教育工作,参与幼儿园与社区的联系,协助幼儿园开展家庭教育指导与交流,对幼儿园重要决策事项提出意见和建议,B
44,洋洋爸爸到动儿园开家长会，期间烟瘾难耐，就走出教室到操场上吸烟。洋详爸爸的做法（）。,正确，操场没有禁烟标识,正确，在开放空间可以吸烟,不正确，幼儿园所有场所禁烟,不正确，应光征得园长的同意,C
45,依据《中华人民共和国教师法》，县级以上人民政府对长期从事教育教学工作的中小学退休教师的退休金比例（）。,可以适当提高,应当随物价水平指数提高,可以延年提高,应当随教育经费投入提高,A
46,"张老师发现本班幼儿晴晴疑似遭受家庭暴力。依据《幼儿园工作规程》,张老师应当依法及时（）。",向当地妇联进行举报,向当地公安机关报案,向当地人民法院提起诉论,向当地教育行政部门申诉,B
47,幼儿园教师冯某因患传染病被园长暂停在该幼儿园的工作，该园长的做法（）。,合法，有利于保障幼儿的身心健康,合法，园长有依法处理教师的权利,不合法，侵犯了冯某的工资报酬权,不合法，侵犯了冯某的教育教学权,A
48,幼儿园园长刘某在进行安全检查时，发现幼儿园的滑梯存在安全隐患。由于工作太忙，她没有及时加以处理。一天在进行游戏活动时，滑梯突然倒塌，导致多名幼儿重伤。对于此次事故的处理，下列说法正确的是（）。,应依法追究刘某的刑事责任,应依法追究刘某的民事责任,应依法追究幼儿园的刑事责任,应依法追究幼儿园的行政责任,A
49,孩子们在保温桶旁排队接水喝，李老师拿了一个杯子径直走到最前面接水，排在前一的阳阳大喊:“老师!你怎么插队了?!”其他小朋友都望着李老师。这时侯李老师恰当的回答是（）。,“你批评得对，老师错了，马上排队。“,“对不起，我太渴了，让我先接水吧。“,“就你多嘴!其他小朋友都没有意见。“,“老师马上要上课，来不及接队了时。“,A
50,盼盼妈妈问:“在班上的作品展示栏里，我从来没有看到过盼盼的作品，为什么?“田老师说:“盼盼妈妈。我们只展示优秀作品。”对于田老师的做法，下列说法正确的是（）。,做到了因材施教,保护了幼儿的发展权,没有做到一视同仁,没有做到循循善诱,C
51,亮亮的父亲是一名汽车修理店的老板，他希望亮亮能够上“XX幼儿园”，该园园长说没有问题，请求亮亮父亲无偿提供一些废旧的汽车轮胎并制作成攀爬设施。园长的做法（）。,不恰当，不应该用废旧汽车轮胎布置活动场地警,不恰当，这是利用职务之便为幼儿园获取资源,恰当，有效利用废旧物品作为教育资源,格当，善于利用家长资源为幼儿园服务,B
52,某幼儿园实行“导师制”，新老师可以自主选择导师。王老师想要选择工作多年且年年都有教研成果的李老师为导师。李老师说:“我年龄大了，对新生事物不敏感，你还是找其他老师吧!”这表明李老师（）。,缺乏同伴协作能力,鼓舞同事自我发展,能够微到谦虚谨情,缺乏同济互助精神,D
53,虹是一种天气现象，因为色彩艳明和形态优美而被人们喜爱。下列有关虹的表述，不正确的是（）。,虹是水滴对光线的折射和反射产生的,虹出现的位置一般是在光源的相对面,虹的色彩越鲜艳明亮，表明水滴越小,虹分主虹和副虹，其色序的排列相反,C
54,拉于美洲是美国以南的美洲陆区的统称。曾长期沦为西班牙、葡萄牙等国的殖民地，因多数国家通用西班牙语、葡萄牙语等拉丁语等族语言而得名，拉丁美洲第一个宣布独立的国家是（）。,海地,巴西,哥伦比亚,委内瑞拉,A
55,国歌是代表国家的歌曲，以鼓舞爱国主义精神为主题，往往能反映一个国家的历史。下列选项中，与中国人民共和国国歌《义勇军进行曲》诞生相关的是（）。,义和团运动,辛亥革命,抗日战争,解放战争,C
56,要向孩子讲述中国古代神话故事中有关“神兽”的故事。下列选项中，最适合查询的古籍是（）。,《山海经》,《水注经》,《梦溪笔谈》,《聊斋志异》,A
57,弥尔顿是17世纪英国伟大的试人，其后期作品以寄意崇高、哲理深刻、气势恢宏，形式精美。下列选项中，属于其作品的是（）。,《神曲》,《唐璜》,《西风颂》,《失乐园》,D
58,中秋节是中国重要的传统节日，为增加节日氛围，幼儿园要在众灯笼上点缀诗句，下列诗句中，不适合的是（）。,爱上升明月，天涯共此时,残腊即尽，东风应渐闻,一轮秋影转金波，飞镜又重磨,皓魄当空宝镜升，云间仙籁寂无声,B
59,中国首部获得国际荣誉的电影由蔡楚生编导，王人美、韩根兰等主演，1935年在莫斯科国际电影节上获奖。这部电影的名字是（）。,《渔光曲》,《定军山》,《姊妹花》,《桃李劫》,A
60,使用Word编辑多页班级杂志时，为实现快速在每页加入班级徽标，最适当的操作是(),将班级徽标图片添加到“图形库”中,将班级徽标图片添加到“媒体库”中,将班级徽标图片插入到“文本框”中,将班级徽标图片插入到“页眉/页脚”中,D
61,在Excel中，下列选项中，不属于算术运算符的是（）。,/,<>,+,*,B
62,下列选项中，与“昆虫一动物”的逻辑关系一致的是,“大鱼”和“小鱼”,“汽车发机”和“汽车”,“荷花”和“荷叶”,“彩色电视机”和“电视机”,D
63,找规律填数字是一个很有趣的活动，特别锻炼观察和思考能力。按照1=2、2=7、3=12、4=（）、5=22的规律，下列选项中，应填入的是()。,15,17,19,21,B
64,免疫时间较短，可多次感染的传染病是（）。,流感,水痘,麻疹,腮腺炎,A
65,幼儿园语言教育培养幼儿最主要的能力是（）。,交往、合作和交流,表现、表达和创造,阅读、想象和表演,倾听、理解和表达,D
66,对“因材施教”的正确理解是（）。,尊重年龄特点,尊重个体差异,遵循发展顺序,遵循教材进度,B
67,“人生两个宝，双手与大脑。用脑不用手，快要被打倒。用手不用脑，手脑都会用，才算是开天辟地的大好佬，”这首儿童诗的作者是（）。,张宗麟,陈鹤琴,张雪门,陶行知,D
68,幼儿园保育教育质量评估应主要聚焦（）。,办园条件,保育教育过程,幼儿园管理,幼儿发展结果,B
69,幼儿园一日活动要动静交替，这与幼儿神经系统的哪一个特点有关?（）,易兴奋、易疲劳,不易兴奋、不易疲劳,易兴奋、不易疲劳,不易兴奋、易疲劳,A
70,一般来说，在儿童出生后的两年中，不容易观察到的情绪表现是（）。,惊喜,害羞,内疚,焦虑,C
71,在玩棋类游戏时，下列幼儿的那种行为表现最能反映玩具的可玩性?（）,运用丰富的认知策略,玩棋兴趣持续较长时间,有丰富的肢体表现,玩棋之后不易引发挫折感,B
72,3~4岁的儿童认为，小皮球浮在水面上，是因为它想游泳，按照认知发展理论的观点，这反映了3~4岁儿童的思维具有（）。,泛灵论特点,守恒性特点,假装性特点,象征性特点,A
73,思维工具和思维方式并非与生俱来，它们可以由能力水平更高的人传递给儿童，由此推断，影响幼儿学习的关键因素之一是（）。,操作条件作用,符号表征,社会互动,情感调解,C
74,在组织活动教学幼儿认识图形时，李老师说：“请小朋友找出活动室里有圆形和正方形的物品”，李老师的做法体现的幼儿教育的特点是()。,基础性,整体性,浅显性,生活性,D
75,磨课时，方老师语重心长的对姜老师说：“现阶段你要开始琢磨如何将自己所拥有的教学经验所提升形成自己善于驾驭且易于幼儿理解的教学表现方式。”这表明姜老师目前所处的专业发展阶段是()。,自我更新关注阶段,生存关注阶段,关注教学情境阶段,关注学生阶段,C
76,语言活动时，侯老师摇着铃鼓提醒幼儿安静，可惜有部分幼儿吵吵闹闹的。这时，老师双手握空心拳，做出望远的动作，说“老师用望远镜望一望，看看哪个小朋友做的最神气?”孩子们立刻停止吵闹，下列对老师的行为表述不正确的是()。,注重教学示范,注重幼儿情绪调控,注重班级管理,注重直观形象引导,A
77,在建构区，中班幼儿东东一直搭不好拱形桥，不停地把积木推倒重来。对此，李老师恰当的说法是()。。,“宝贝，我来帮助你!”,“试试不同的积木，你一定行!,“注意拱形桥的对称与平衡!”,“不搭拱形桥了，搭其他的吧!”,B
78,明明的父母怠于履行监护者义务，让明明长期处于无人照顾的状态，根据《中华人民共和国未成年保护法》，当地民政部门应当采取的措施是()。,对明明进行临时监护,对明明进行长期监护,撤销明明父母的监护资格,追究明明父母的刑事责任,A
79,依据《中华人民共和国教育法》，幼儿园管理人员实行()。,专业技术制度,管理职员制度,教师资格制度,教育职员制度,D
80,某地政府为提升教育质量，促进教育高质量发展，拟将一所公立初中改为与企业合建，该地的做法()。,错误。政府不得以任何名义改变或者变相改变公办学校的性质,错误。政府不能通过与企业合作的方式提升学校教育教学质量,正确。政府可以结合实际采取多种形式提升学校教育教学质量,正确。政府应因地制宜地为义务教育阶段学校的发展提供帮助,A
81,幼儿园教师崔某认为幼儿园侵犯他参加进修培训的权利而提出申诉，依法受理申诉的是()。,当地人民政府,教育行政部门,上级人民政府,当地纪检部门,B
82,幼儿玲玲在放学前偷偷幼儿园玩耍，不小心受伤了，对玲玲所受的伤害，应承担赔偿责任的是()。,玲玲的老师,玲玲的监护人,幼儿园,幼儿园和玲玲的监护人,D
83,依据《中华人民共和国宪法》，中央和地方的国家机构职权的原则()。,中央统一领导，充分发挥地方的主动性和积极性,中央统一领导，充分发挥地方的自主性和积极性,中央统一领导，充分发挥地方的主体性和主动性,中央统一领导，充分发挥地方的主体性和自主性,A
84,下列选项不属于联合国《儿童权利公约》中确认和保护的儿童权利的是()。,信仰自由权,结社自由权,言论自由权,契约自由权,D
85,某幼儿园为给幼儿今后的学习发展打下坚实的基础，在大班教授小学语文和小学数学的内容，该幼儿园的做法()。,符合幼儿关键期的教育要求,彰显了关爱幼儿的教育理念,不符合全面发展的教育理念,违背了幼儿的身心发展规律,D
86,李老师一直要求班上的小朋友，不要手拉手上下楼梯，可是小丽和小熙经常手拉着手一起走，在上下楼梯时也不松手。对此，李老师恰当的做法是()。,尽量不让她俩一起上下楼梯，消除安全隐患,要求她俩松手后再上下楼梯，避免发生意外,允许她俩拉着手上下楼梯，提醒注意安全,减少她俩当天的户外活动，强化教育效果,B
87,李老师暑假参加同学聚会时，发现一些同学收入高于他很沮丧，一度想跳槽，可一开学，当活泼可爱的小朋友围着他分享暑假趣闻时，他顿时心情舒畅，跳槽念头全无。这表明了教师职业幸福具有()。,自在性,主观性,精神性,无限性,C
88,在一次续编故事活动中，小朋友们积极举手发言，一向胆小的圆圆也举起了小手，戴老师有意请圆圆回答，可圆圆的声音非常小，小朋友们嚷嚷：“他的声音太小了，我们什么也听不见!”“老师让我替他说吧!”对此，戴老师恰当的回应是()。,欣欣，你来替圆圆讲!圆圆请先坐下休息一会儿,圆圆真勇敢，请你大声地再讲一遍。好吗?,你们管好自己的小嘴巴，我们要尊重圆圆。,圆圆，你应该大声讲故事。,B
89,幼儿自行收拾餐具时，赵老师发现晓晓把饭粒掉在桌上，让晓晓把饭粒捡回餐碗里，回家后，晓晓告诉爸爸，赵老师要她把掉在桌子上的饭粒吃掉，晓晓爸爸当即打电话询问此事，赵老师详细说明了情况。对此，下列选项正确的是()。,赵老师没有注意教育对象的针对性,赵老师没有把握教育内容的适宜性,赵老师没有做到教育要求的明确性,赵老师没有注意教育主体的协同性,A
90,人们常常遵循科学原理进行发明创造。热气球作为人类发明的最早载人升空的航空器主要容器，它应用的主要科学原理是()。,重力的原理,浮力的原理,弹力的原理,磁力的原理,B
91,青蛙是脊索动物两栖纲的动物，成体青蛙已有肺，但在冬眠时，其呼吸主要依靠。()。,舌头,眼睛,皮肤,心脏,C
92,科学发现可以通过观察实验得到，也可根据理论推算实现。1846年法国天文学家勒维耶和英国天文学家亚当斯根据天体力学理论，几乎同时得出一颗新行星的位置，这颗行星是(),火星,木星,海王星,天王星,C
93,1934年10月，中央红军和中共中央机关实施战略性转移，开始长征，历经艰难险阻。和一四方面军在甘肃会宁胜利会师，这次会师的时间是()。,1935年8月.,13058,13363,13424,D
94,杂交是不同属种或品种的动物或植物交配或结合，可分为天然杂交和人工杂交，中国人2000年前就注意到了杂交优势，此后不断利用杂交进行育种，明代有典籍记录了运用人工杂交育种培育优良蚕种，该典籍是()。,《齐民要术》,《农桑辑要》,《天工开物》,《授时通考》,C
95,中国的农诱说：到了惊蛰节，耕地不能歇”，加入孩子据此作画，需提示该画背景所对应的季节是()。,春,夏,秋,冬,A
96,现代作家张天翼在某写作生涯后期，以儿童文学创作为主，著有多部童语作品，下列选项中，不属于其作品的是()。,《稻草人》,《金鸭帝国》,《大林和小林》,《宝葫芦的秘密》,A
97,陀思妥耶夫斯基是19世纪俄罗斯的伟大作家被视为比肩列夫.托尔斯的俄罗斯文学的代表物和人类灵魂的伟大审问者，下列选项中，不属于其作品的是()。,《白痴》,《死魂灵》,《罪与罚》,《卡拉马佐夫兄弟》,B
98,迪士尼是美国动画片艺术先驱，一共获得20余项奥斯卡金像奖，创造了米老鼠等一系列家喻户晓的动画形象，下列选项中以米老鼠为主角的动画片是()。,木偶奇遇记,威力号汽船,灰姑娘,睡美人,B
99,在Word编辑状态，选择了文档全文，要在段落对话框中设置行距为20磅的格式，下列选项中应选择的是()。,单倍行距,1.5倍行距,2倍行距,固定值,D
100,PowerPoint中，不可以在空白幻灯片中直接插入的是,剪贴画,背景样式,数字,屏幕截图,B
101,下列选项中，与“正方形-四边形’的逻辑关系相同的是,太湖和淡水湖,六边形和菱形,北京和上海,春城和昆明,A
102,幼儿园教师通过记录幼儿在日常生活，与活动中的表现来分析其心理特点，这种研究方法是()。,观察法,谈话法,测验法,实验法,A
103,下列几种意外事故，不正确的处理方式是()。,有小飞虫进入幼儿眼里，翻开眼皮后用海绵签轻轻擦去,幼儿跌倒后轻微的擦伤，对伤口清洗去污，涂上消毒药品,幼儿鼻内进了小珠子，豆粒等圆滑异物，用镊子去取,幼儿被蜜蜂轻度蜇伤后，在伤口涂淡碱水或肥皂水等弱碱性液体,C
104,为保障幼儿身体健康发育，教师要求幼儿有正确的站姿和坐姿，这是因为幼儿()。,骨骼弹性大，可塑性强，易变形,骨骼弹性大，可塑性小，易变形,骨骼弹性小，可塑性小，易变形,骨骼弹性小，可塑性强，易变形,A
105,小军打打针对自己说:“我不怕，我不怕，我是男了汉”这表现出他初步具备()。,情绪理解能力,情感表达能力,情绪识别能力,情绪自我调节能力,D
106,《托儿所幼儿园卫生保健工作规定》1-3岁儿童每年健康检查的次数是()。,1次,2次,3次,4次,B
107,自闭症儿童的典型特点不包括()。,言语发展迟缓,对人缺乏兴趣,胆小怕生,重复性的刻板行为,C
108,十个月大的贝贝看见妈妈把玩具塞进了盒子，他会打开盒子把玩具找出来。这说明贝贝的认知具备了()。,守恒性,间接性,可逆性,客体永久性,D
109,李老师与大班幼儿面对面，自由的坐在塑胶地上。李老师对幼儿说，请你们想一个办法到老师面前来。乐乐想到了前滚翻，动作不怎么标准，滚到了一边。对此，李老师恰当的说法是？,动作不标准，重新做一遍。,这样不好，会踢到旁边的小朋友。,乐乐的想法真奇妙，要注意安全。,乐乐真勇敢，大家要向他学习。,C
110,《幼儿园教育指导纲要(试行)》提出幼儿园教育工作评价应当以()。,幼儿评价为主,家长评价为主,教师自评为主,专家评价为主,C
111,张雪门“行为课程”的理论基础是()。,杜威实用主义哲学,建构主义心理学,人本主义心理学,行为主义心理学,D
112,因为小三轮车数量有限，中班幼儿常为“谁骑车”而争论不休。一天，小雯跑到李老师面前说:“小莉不让我骑三轮车。”对此李老师不恰当的做法是()。,小要，我们玩别的玩具吧!,小莉，让小雯骑，等会儿我让你发点心。,小雯，可以怎样对小莉表达你的想法?,小莉，我知道你是懂得谦上的好孩子。,B
113,刘老师，根据《小蚂蚁搬豆》的故事，把小蚂蚁画下来，一个挨着一个的贴在有厕所的墙面上，幼儿看到排着队的小蚂蚁就会按顺序等待入厕。刘老师的做法体现的教师角色是()，,支持者,合作者,示范者,引导者,D
114,班级里有的幼儿活泼，有的幼儿内向，有的幼儿喜欢画画，有的幼儿喜欢唱歌，有的幼儿家来自农村，有的幼儿来自城市，这给刘老师的工作带来较大的挑战。这表明刘老师的劳动具有()。,多样性,示范性,个体性,复杂性,D
115,幼儿园陈老师经常在心里琢磨，“小朋友们喜欢我吗?”“同事们如何看我?”“园长是否觉得我干的还不错?”陈老师所处的教师专业发展阶段是().,关注生存阶段,关注情境阶段,关注学生阶段,关注自我阶段,A
116,联合国《儿童权利公约》要求各缔约国采取有效措施保障儿童享有受教育的权利。关于这些措施，下列说法正确的是(),实施全面免费的九年义务教育,鼓励发展不同形式的课外教育,根据条约适用所有人享有平等的接受高等教育的机会.,使所有儿童都得能到教育的职业方面的资料和指导,D
117,根据《中华人民共和国宪法》，下列不属于全国人民代表大会常务委员会职权的是()。,解释法律,监督宪法的实施,决定战争与和平的问题,决定驻外全权代表任免,C
118,在幼儿园事故处理中，受伤害的幼儿监护人无理取闹，扰乱教育教学秩序。幼儿园应当()。,报告公安机关依法处理,报告质检部门依法处理报告,报告人民法院依法处理,报告人民检察院依法处理,A
119,先生把自己收藏的书画捐给某幼儿园。园长在整理书画时发现其中-张山水画意境很美，仔细观赏后回家挂在书房里。关于园长的做法，下列说法正确的是(),园长有权处理教育捐赠,园长不得挪用教育捐赠,园长侵犯了高先生的财产权,园长拿回家前应征得高先生的同意,B
120,三岁的明明因不听话被母亲置于闹市不管，好心人发现后，报告公安机关，公安机关应对明明的母亲(),予以行政处罚,予以行为处分,予以刑事处罚,予以民事处罚,A
121,某报社为抢独家新闻，报道了一名未成年犯罪嫌疑人的姓名，住址和犯罪过程，并且配发了照片，该报社的做法,合法，有利于实施法治教育,合法，体现了新闻报道自由,不合法，侵犯了未成年人的隐私权,不合法，侵犯了未成年人的荣誉权,C
122,区角活动时，军军故意撞坏玩具，黄老师批评他还做鬼脸，并顶撞黄老师，黄老师怎么做都无济于事，只好把他带出教室，并交给园长处理。黄老师的做法(),不正确，推卸了教师的责任,正确，教师有评价幼儿的义务,不正确，侵犯幼儿受教育权,正确，教师有批评教育幼儿的权利,C
123,某家幼儿园组织商业演出。该幼儿园的做法()。,正确，有助于促进社会教育,正确，有助于幼儿园改善办园条件,不正确，幼儿园不得以幼儿表演为手段牟利,不正确，幼儿园进行商业表演需经家长同意,C
124,李老师打扫完班级卫生后，顺便坐在教室的玩具柜上，这时，他看到小杰也从椅子上爬到柜子上坐着，便说:“小杰不能坐到柜子上，这样太危险，老师说过很多次了，你忘了吗?”旁边程程跟上说:“老师，你也坐在.上面呢。!”此时李老师恰当的回应是()。,老师和柜子说过了，它同意哦!,谢谢你，以后我们都不要坐了。,老师打扫卫生太累了，只坐了一小会。,谢谢你，老师不会摔，小朋友会危险的。,B
125,"小班的保育员徐老师正在照顾两个不肯吃饭的孩子，这时京京端着空碗还想吃饭，徐老师转头对正在使用电脑的陈老师说:“帮京京舀-点饭。""陈老师回应:“这是你的工作，我有我的事情要做。""陈老师的做法违背了教师职业道德要求是()，",关系性,长期性,协作性,制度性,C
126,奶奶将小鱼的被子送去幼儿园，走到寝室时，老师刚好带孩子们去做操了，奶奶发现小鱼的床位在一个角落里，便将小鱼的床位换到了寝室中间，老师应该()。,认同奶奶调整床位的行为,让小鱼告诉奶奶不能调,立即把小鱼的床位调回原位,打电话与奶奶沟通，不应该这样做,D
127,徐老师正在分组活动中指导幼儿，一起身，衣服上的胸针勾住了晶晶的头发，晶晶害怕的哭了，徐老师小心的把晶晶的头发与胸针分开，接下来徐老师应该()。,加倍小心，尽量避免胸针伤到幼儿,加强防范，不要戴胸针伤到误伤幼儿,安抚孩子情绪，处理好后调整胸针位置,注意安全，只佩戴不伤到幼儿的胸针,C
